Face,Direction,Eccentricity,Reaction Time (s)
1,2,15,0.5289703999878839
3,2,35,0.4517962000099942
3,2,10,0.4972531000385061
3,2,15,0.584012699953746
1,2,35,0.5493999000173062
3,2,0,0.5583413999993354
1,2,10,0.5694686000351794
3,2,10,0.4987176999566145
1,2,15,0.6039569000131451
1,2,40,0.674477000022307
3,2,15,0.6420061000389978
3,2,30,0.6214493000297807
3,2,5,0.6200018000090495
1,2,10,0.8391441999701783
3,2,10,0.5891115999547765
3,2,10,0.6555919999955222
1,2,30,0.6758451000205241
1,2,40,0.6691019000136293
1,2,25,0.6682209999999031
1,2,40,0.6430243999930099
3,2,15,0.41304489999311045
3,2,20,0.5977761999820359
1,2,5,0.5915466999867931
3,2,20,0.6982616999885067
3,2,15,0.608634100004565
3,2,20,0.6538878999999724
3,2,35,0.7287950000027195
3,2,15,0.6608985000057146
3,2,20,0.5825544000254013
1,2,0,0.47139249998144805
3,2,25,0.4972497000126168
3,2,30,0.5848479999694973
3,2,5,0.5110913999960758
3,2,10,0.5326991000329144
3,2,0,0.5020973999635316
3,2,20,0.46580900001572445
1,2,0,0.4067161999992095
3,2,35,0.6011939999880269
3,2,20,0.5063834999455139
1,2,25,0.524764999980107
3,2,35,0.7287902999669313
1,2,25,0.5131921000429429
1,2,5,0.4879333999706432
1,2,0,0.414270699955523
1,2,10,0.4636584999971092
1,2,5,0.41826569999102503
1,2,15,0.5044350000098348
1,2,5,0.3990524000255391
3,2,0,0.3537042000098154
1,2,15,0.6072701000375673
3,2,5,0.5165206000092439
3,2,5,0.4438734999857843
1,2,10,0.5427316999994218
3,2,25,0.5075595999951474
3,2,0,0.45729300001403317
3,2,0,0.513475899992045
3,2,25,0.653175099985674
1,2,25,0.6074991000350565
1,2,40,0.7846171000273898
3,2,25,0.6404681000276469
3,2,40,0.6140134999877773
1,2,5,0.5627036999794655
1,2,40,0.8293966999626718
1,2,40,0.7098895999952219
1,2,0,0.532593900046777
3,2,20,0.5715025999816135
3,2,35,0.5895750000490807
3,2,15,0.5743932999903336
1,2,0,0.46439510001800954
3,2,35,0.5474136999691837
3,2,5,0.5051345000392757
3,2,25,0.46706519997678697
1,2,20,0.6174235999933444
3,2,30,0.6497460000100546
3,2,20,0.6963395000202581
3,2,40,0.6549616000265814
1,2,35,0.7708008000045083
1,2,30,0.5848165000206791
3,2,30,0.4635539999580942
1,2,35,0.6176784000126645
3,2,35,0.5933136999956332
1,2,10,0.5849727999884635
1,2,40,0.6180394000257365
1,2,40,0.7635650000302121
1,2,25,0.6061372999683954
3,2,30,0.5430415999726392
1,2,30,0.6827255000243895
1,2,20,0.48785890004364774
1,2,30,0.5299467999720946
1,2,30,0.5222370000556111
1,0,15,0.516269400017336
1,0,15,0.48713929997757077
3,0,35,0.5063555000233464
3,0,0,0.5049381999997422
3,0,10,0.5667986000189558
1,0,5,0.6023182999924757
3,0,30,0.49942489998647943
3,0,35,0.5965886000194587
1,0,15,0.5634342000121251
3,0,10,0.5871418999740854
1,0,25,0.5746125000296161
3,0,30,0.6640821000328287
1,0,35,0.6569635999621823
3,0,5,0.5017691000248305
3,0,10,0.5178166999830864
1,0,0,0.42172079998999834
3,0,25,0.5276208000141196
3,0,35,0.5296246000216343
1,0,40,0.513190699974075
1,0,15,0.5129524999647401
3,0,35,0.4816609999979846
1,0,15,0.5510450999718159
3,0,0,0.4667769999941811
1,0,35,0.5134205000358634
3,0,0,0.4848704999894835
3,0,20,0.6384774000034668
3,0,30,0.48398509999969974
3,0,20,0.45499960001325235
3,0,10,0.45762400003150105
3,0,25,0.4764654000173323
1,0,40,0.5020973999635316
3,0,20,0.6870590999606065
3,0,5,0.5162130999960937
1,0,40,0.5913407999905758
3,0,25,0.5140828000148758
3,0,30,0.5358743999968283
3,0,30,0.5000373999937437
1,0,20,0.6419312999933027
3,0,40,0.48108699999284
3,0,35,0.6353338999906555
3,0,40,0.6173579000169411
1,0,10,0.4383781000506133
3,0,5,0.5233384000021033
3,0,30,0.5213871999876574
3,0,20,0.6873493999592029
1,0,5,0.5715727999922819
1,0,15,0.4593375999829732
3,0,5,0.5267505000228994
1,0,5,0.5213159999693744
3,0,10,0.5747113999677822
1,0,0,0.44416409998666495
3,0,5,0.496969900035765
3,0,0,0.5349758999655023
3,0,10,0.49677869997685775
1,0,0,0.4585222999448888
1,0,0,0.5031604000250809
1,0,5,0.4804856000118889
1,0,20,0.4470166999963112
1,0,25,0.5455755000002682
1,0,10,0.4530695999856107
1,0,35,0.4931796999881044
1,0,40,0.5458511000033468
1,0,0,0.4517080999794416
3,0,20,0.5040890999953263
3,0,5,0.4514716000412591
1,0,40,0.5862963999970816
1,0,15,0.6019596999976784
3,0,25,0.7446621000417508
3,0,30,0.7349580999580212
3,0,25,0.5253528999746777
1,0,10,0.45532599999569356
3,0,40,0.6071584000019357
3,0,0,0.5654660000000149
1,0,25,0.5398919999715872
3,0,20,0.570783199975267
3,0,30,0.40748310001799837
3,0,15,0.5015907000051811
3,0,35,0.7290681000449695
3,0,15,0.5119775999919511
3,0,30,0.6889303999487311
3,0,20,0.6186558000044897
3,0,15,0.49262189998989925
3,0,25,0.5257635000161827
3,0,10,0.49579969997284934
1,0,25,0.5644790999940597
3,0,20,0.5200066000106744
3,0,35,0.6046242999727838
3,0,40,0.7230813999776728
1,0,30,0.6581475000130013
1,0,40,0.5686601999914274
