Face,Direction,Eccentricity,Reaction Time (s)
15,0,35,0.6547024000319652
13,0,10,0.6358995999908075
15,0,5,0.6114747999818064
17,0,20,0.7146358999889344
15,0,10,0.7314450000412762
15,0,20,0.5479752000537701
13,0,15,0.7673298000008799
15,0,30,0.8150123999803327
13,0,30,0.8079407999757677
17,0,20,0.8196379999862984
17,0,0,0.7503253000322729
13,0,25,0.7487704000086524
13,0,10,0.5831495000165887
15,0,35,0.9164728000178002
17,0,15,1.0963317999849096
15,0,35,0.8196331999497488
17,0,20,0.9744644000311382
13,0,10,0.5527719000237994
13,0,5,0.5934405000298284
15,0,25,0.9082279999856837
13,0,10,0.5708207000279799
17,0,15,0.7502930999617092
13,0,25,0.8991562000010163
13,0,15,0.6427068000193685
15,0,40,0.9582931000040844
17,0,25,0.7985213000210933
17,0,20,0.7118688999908045
13,0,0,0.6110976000200026
13,0,0,0.4649473000317812
15,0,40,0.7398432999616489
13,0,20,0.5847539000096731
13,0,15,0.5845650999690406
13,0,0,0.5285094000282697
17,0,0,0.6747217000229284
15,0,15,0.6654754999908619
15,0,30,0.6098770999815315
15,0,25,0.7225892000133172
17,0,40,0.714629199996125
15,0,10,0.6119884999934584
15,0,20,0.6891481999773532
13,0,5,0.571879800001625
17,0,10,0.8013839999912307
13,0,0,0.6329249999835156
15,0,40,0.8642180999740958
13,0,15,0.7780197999672964
13,0,5,0.5140864999848418
13,0,0,0.47919159999582916
13,0,5,0.5613169000134803
15,0,0,0.6752536999993026
13,0,20,0.7966230000020005
15,0,40,0.8221359999733977
13,0,5,0.5811793999746442
13,0,10,0.5945901999948546
15,0,15,0.7385969000170007
17,0,5,0.802225699997507
13,0,0,0.6106796999811195
15,0,15,0.96585999999661
17,0,15,0.7377749999868684
15,0,5,0.857778999954462
17,0,25,1.0417805000324734
15,0,30,0.8042258999776095
17,0,40,0.8412953999941237
15,0,30,0.8668846000218764
17,0,5,0.7735614000121132
17,0,25,0.7493459999677725
17,0,25,0.5862862999783829
15,0,10,0.7416669999947771
13,0,25,1.284959299955517
15,0,10,1.0292393999989145
13,0,30,0.8694441000116058
15,0,30,0.8810579999699257
17,0,35,0.9441440999507904
17,0,25,0.86238989996491
17,0,5,1.0530743999988772
13,0,35,1.3899198999861255
17,0,20,0.8137931000092067
17,0,0,0.7492209000047296
17,0,20,0.8546225999598391
13,0,40,1.3716031999792904
15,0,35,1.1084709000424482
13,0,35,1.2733645999687724
13,0,30,0.8692998999613337
17,0,35,1.0839382000267506
13,0,30,0.6648203000077046
15,0,30,1.1708310999674723
13,0,35,0.95145059999777
13,0,40,1.1037594999652356
17,0,40,0.9944670000113547
13,0,35,0.9869808999937959
15,0,40,1.044798200018704
15,2,10,0.5310257999808528
15,2,40,0.8223718000226654
13,2,10,0.6293540999758989
15,2,25,0.7438871000194922
15,2,10,0.6349520000512712
13,2,0,0.6827788000227883
15,2,5,0.5902639999985695
17,2,0,0.6899860999546945
13,2,5,0.594625600031577
17,2,15,0.7566121999989264
17,2,5,0.7038058000034653
17,2,30,0.6489270000020042
13,2,35,0.7902078999904916
15,2,35,1.0194266999606043
13,2,35,0.7221386000164784
13,2,0,0.5122044999734499
15,2,0,0.4163150999811478
15,2,0,0.5049427999765612
15,2,15,0.5335055000032298
17,2,10,0.5196086000069045
13,2,40,0.5726805999875069
17,2,25,0.8133893999620341
17,2,30,0.8098399000009522
13,2,5,0.6701728000189178
17,2,5,0.6263080000062473
13,2,5,0.6263470000121742
13,2,20,0.678721200034488
17,2,25,0.8840592000051402
17,2,15,0.6664989000419155
17,2,10,0.5610929999966174
17,2,20,0.6840668999939226
13,2,15,0.8791326000355184
17,2,30,0.7527740999939851
17,2,20,0.7748131999978796
17,2,0,0.6112125999643467
15,2,40,1.0271877000341192
15,2,40,0.9263818999752402
17,2,15,0.6183602000237443
15,2,0,0.6487318999716081
17,2,35,0.7784626000211574
17,2,20,0.7858147000079043
13,2,40,0.7241136999800801
17,2,30,0.8529967999784276
13,2,5,0.7395850000320934
17,2,40,0.772189499984961
15,2,10,0.5415635000099428
13,2,5,0.616630400007125
17,2,10,0.7307744999998249
15,2,35,0.8733751000254415
17,2,0,0.6822655000141822
17,2,0,0.5436710000503808
13,2,30,1.0833934000111185
17,2,35,0.6937241000123322
15,2,15,0.5832753999857232
15,2,20,1.2671842999989167
15,2,20,0.7708958999719471
17,2,25,0.8373635999741964
13,2,5,0.6360376999946311
13,2,15,0.9689202000154182
17,2,5,0.7719978000386618
17,2,15,1.0428340999642387
13,2,15,0.9631601000437513
13,2,35,0.898657199984882
13,2,25,0.6722085000365041
15,2,25,1.1604062000405975
13,2,30,0.775240599992685
17,2,10,0.8781464999774471
13,2,30,0.763443699979689
15,2,0,0.5310657999943942
13,2,40,0.7789385999785736
15,2,20,0.9263250000076368
15,2,40,0.9401655999827199
15,2,25,0.8363038999959826
15,2,10,0.6619435999891721
13,2,35,0.7861812000046484
15,2,25,0.9353625999647193
13,2,15,0.7745294999913312
13,2,25,1.0366665999754332
15,2,30,0.892818599997554
15,2,10,0.8284440999850631
17,2,30,1.1366359000094235
13,2,30,0.8391614999854937
15,2,35,1.0706686000339687
13,2,40,0.8175418000319041
15,2,20,0.8609570999979042
17,2,20,0.9442322999821045
17,2,25,0.6408327000099234
15,2,35,1.4403753000078723
15,2,40,1.2548107000184245
17,2,20,0.6338231000117958
