Face,Direction,Eccentricity,Reaction Time (s)
23,2,0,0.5859559000236914
19,2,5,0.6595927000162192
19,2,40,0.8823489000205882
21,2,25,0.8360135999973863
23,2,15,0.6528264999506064
23,2,10,0.5504655999829993
23,2,0,0.6174790000077337
21,2,30,0.7162146000191569
23,2,10,0.6215703000198118
23,2,40,1.072173600026872
19,2,20,1.121832099976018
21,2,30,0.8717733999947086
23,2,35,0.7571195000200532
23,2,5,0.5020948999444954
23,2,10,0.5324032999924384
23,2,5,0.5097297999891452
19,2,40,0.9204859000165015
23,2,30,0.7643672000267543
23,2,0,0.564077700022608
19,2,30,0.8831124999560416
19,2,35,0.8164246999658644
19,2,40,0.8848479999578558
19,2,30,0.6969990999787115
19,2,15,0.5538554000086151
19,2,5,0.6898356000310741
23,2,25,0.7471877999487333
23,2,30,0.715489600028377
23,2,0,0.6056764000095427
19,2,35,0.8118165000341833
19,2,40,0.8043534999596886
21,2,35,0.9231044999905862
19,2,20,0.6865966999903321
23,2,10,0.7667645000037737
21,2,10,0.8365182999987155
21,2,35,0.8080634999787435
19,2,25,0.6866407999768853
19,2,20,0.7254441999830306
19,2,40,0.9745368000003509
21,2,15,0.905550499970559
21,2,35,0.9720697000157088
19,2,0,0.6962607000023127
21,2,10,0.6472139000543393
19,2,5,0.6031637000269257
23,2,40,0.9568428000202402
23,2,40,0.7950467999908142
23,2,0,0.5648551000049338
21,2,25,1.0458753000129946
23,2,25,0.7195295999990776
23,2,20,0.7543743000132963
23,2,0,0.499268600018695
21,2,20,0.7725114999921061
21,2,15,0.5213838000199758
21,2,20,0.6325909000006504
23,2,15,0.7621757999877445
23,2,15,0.5317019000067376
21,2,5,0.774234400014393
23,2,20,0.6182861999841407
23,2,35,0.7006129000219516
23,2,10,0.48643360001733527
21,2,5,0.7546259999508038
23,2,25,0.8230682999710552
21,2,30,0.994620000012219
21,2,30,0.9398593999794684
19,2,20,0.687516100006178
21,2,0,0.8810422000242397
23,2,15,0.7116031000041403
21,2,5,0.6937192000332288
23,2,35,0.7090964000090025
19,2,30,0.8498396000359207
23,2,5,0.6336129999835975
23,2,30,0.866877700027544
19,2,25,0.8968049999675713
23,2,0,0.6721495999954641
23,2,40,1.265566999965813
23,2,15,0.6587554000434466
21,2,5,0.8066892999922857
21,2,10,0.5545831000199541
21,2,20,0.578773999994155
19,2,25,0.5790353000047617
23,2,0,0.6274254000163637
23,2,25,0.6889469000161625
23,2,10,0.8039876999682747
21,2,20,0.9979256999795325
19,2,25,0.625773300009314
23,2,15,0.6191079000127502
21,2,40,0.8869385999860242
23,2,15,0.6414128000033088
19,2,35,0.8318132999702357
21,2,35,0.9398025999544188
19,2,10,0.4416035000467673
21,0,35,0.9632124000345357
23,0,40,0.911926900036633
21,0,15,0.9047117999871261
21,0,10,0.7566312000271864
21,0,30,0.7454424000461586
21,0,35,0.6142658000462689
23,0,15,0.6387650999822654
23,0,25,0.5838148000184447
19,0,25,0.6378629000391811
19,0,40,0.7342434999882244
21,0,0,0.8057270999997854
19,0,15,0.7311549999867566
23,0,15,0.7695460999966599
23,0,15,0.5381095000193454
21,0,5,0.7529160999692976
19,0,10,0.7489841000060551
21,0,15,0.9360704999999143
19,0,10,0.726459099969361
23,0,20,0.7738124000024982
23,0,10,0.8243757999734953
21,0,30,0.8969978999812156
23,0,25,0.8025966999703087
23,0,20,0.5472918000305071
23,0,30,0.6010693999705836
21,0,15,0.9116021999507211
23,0,40,1.0127973000053316
19,0,10,0.7075923000229523
19,0,0,0.6967617999762297
23,0,5,0.6033046999946237
21,0,35,1.0978455999866128
21,0,25,0.8153629000298679
23,0,5,0.5809269000310451
19,0,10,0.703875600011088
21,0,25,0.6163813999737613
19,0,40,1.1513689999701455
23,0,25,0.8384026999701746
23,0,15,0.7936124000116251
19,0,35,0.8356720000156201
23,0,15,0.7834164999658242
19,0,40,1.030859699996654
23,0,20,0.6770934000378475
23,0,0,0.6803193999803625
21,0,5,0.687438299995847
23,0,30,0.701027899980545
19,0,10,0.6952329999767244
21,0,25,0.7149734999984503
23,0,40,0.7234909000108019
23,0,30,0.6387040999834426
23,0,30,0.5812400000286289
21,0,35,0.8846790999523364
21,0,35,0.7875328000518493
19,0,25,0.8200752999982797
23,0,35,0.6771729000029154
21,0,30,0.7436296999803744
19,0,25,0.7236891000065953
23,0,0,0.5673937000101432
19,0,40,1.0833575000287965
19,0,15,0.6966491999919526
19,0,30,0.6129658000427298
23,0,0,0.6563991999719292
19,0,5,0.7194529000553302
21,0,0,0.8050714999553747
21,0,5,0.5544670999515802
21,0,35,0.9024392999708652
23,0,20,0.6322518000379205
23,0,0,0.5569216000149027
21,0,10,0.6034188999910839
23,0,20,0.6531596999848261
21,0,20,0.7153344000107609
23,0,5,0.5806926999939606
19,0,5,0.6468666999717243
21,0,35,0.782671199995093
21,0,20,0.6794224999612197
19,0,20,0.8021441000164486
23,0,0,0.5527018999564461
21,0,25,0.7078629999887198
23,0,0,0.5159210999845527
23,0,5,0.6445049999747425
19,0,5,0.6969618999864906
19,0,40,0.9744217999977991
21,0,40,0.9288107000174932
21,0,35,0.9089101999998093
23,0,30,0.7656621999922208
23,0,20,0.5900017999811098
23,0,40,0.9137688999762759
21,0,30,0.7719122000271454
21,0,10,0.6449477999703959
19,0,10,0.7278975999797694
19,0,20,0.6151168000069447
23,0,0,0.6012215000228025
