Face,Direction,Eccentricity,Reaction Time (s)
7,0,15,0.2957987280096859
7,0,0, 0.2447551319957711
7,2,40,0.24002233502687886
7,0,10,0.22623390598455444
7,2,10,0.21376085199881345
7,2,25,0.43944582395488396
7,0,5,0.48205490701366216
7,2,35,0.23690026701660827
7,0,0,0.22646562400041148
7,2,0,0.26251946698175743
7,2,10,0.33690412000287324
7,2,0,0.25360644300235435
7,2,0,0.24215834098868072
7,0,10,0.216235860995948315
7,2,15,0.2934829500154592
7,0,0,0.22662094899686053
7,2,10,0.29542758798925206
7,2,10,0.3631760980351828
7,2,40,0.35057826404226944
7,0,40,0.3278703310061246
7,2,25,0.27640462102135643
7,2,0,0.26975223200861365
7,2,25,0.2971971989609301
7,0,15,0.25749263097532094
7,2,10,0.21382357802940533
7,2,30,0.32289455197751522
7,0,0,0.2518910100334324
7,0,15,0.28720768900820985
7,0,20,0.2806360679678619
7,0,35,0.2355046879965812
7,2,20,0.22404730302514508
7,0,30,0.2446094219922088
7,2,10,0.28801938699325547
7,0,40,0.23556611104868352
7,2,5,0.2491008920269087
7,0,35,0.33481549699790776
7,2,40,0.2745173790026456
7,0,20,0.20146148902131245
7,0,25,0.25008744600927457
7,2,35,0.30186902602436021
7,0,30,0.3156305360025726
7,0,40,0.19025224703364074
7,0,35,0.2512264849501662
7,2,20,0.2124644010188058
7,2,15,0.16606885598739609
7,2,35,0.29500501597998664
7,0,25,0.2719237479614094
7,2,5,0.32576165996026248
7,2,0,0.21501772600458935
7,2,20,0.29844550898997113
7,2,30,0.1329237229656428
7,0,0,0.27229551901109517
7,2,30,0.19508112801238894
7,0,10,0.23466285003814846
7,0,30,0.3205486570368521
7,0,10,0.243362853967119
7,2,15,0.21275017503648996
7,2,20,0.27138087898492813
7,2,35,0.2798552419990301
7,2,25,0.14926922699669376
7,2,5,0.21036077298922464
7,2,35,0.2564737049979158
7,0,5,0.31389660999411717
7,0,5,0.10478325001895428
7,2,0,0.25760616100160405
7,0,5,0.2195939839584753
7,2,40,0.20596842898521572
7,2,10,0.2560847509885207
7,0,20,0.22376061498653144
7,0,25,0.28175637702224776
7,0,20,0.2295092489873059
7,0,40,0.35945900100050494
7,0,0,0.24887424998451024
7,2,25,0.11164979200111702
7,2,15,0.2106787280063145
7,2,15,0.28087552898796275
7,2,5,0.14350529800867662
7,2,40,0.3020249539986253
7,0,5,0.18377572699682787
7,0,0,0.014100530999712646
7,2,5,0.10742548102280125
7,2,20,0.3027672600117512047
7,0,10,0.15164249297231436
7,0,30,0.2512909499928355
7,2,35,0.1311724410043098
7,2,5,0.358685420954134315
7,0,35,0.2680247100070119
7,0,30,0.24912632000632584
7,2,10,0.0641411819960922
7,0,35,0.2762236340204254
7,0,5,0.2644860229920596
7,0,40,0.3440000769915059
7,0,5,0.23957966803573072
7,2,15,0.3191551559884101
7,2,30,0.24245815095491707
7,0,10,0.2829910249565728
7,0,30,0.28337715804809704
7,0,35,0.19071953202364966
7,0,0,0.27361467602895573
7,0,25,0.32907948499778286
7,2,0,0.10039545403560624
7,2,30,0.1990327970124781
7,2,20,0.12139397201826796
7,2,5,0.26284919294994324
7,2,40,0.28002131200628355
7,2,40,0.06757615599781275
7,2,35,0.30280669801635668
7,2,20,0.026240047998726368
7,2,35,0.1551388589432463
7,0,20,0.20220210602739826
7,0,5,0.13133762596407905
7,0,40,0.020943976007401943
7,2,20,0.39173839398426935
7,0,10,0.023468094994314015
7,0,15,0.2664723709458485
7,0,20,0.2032692989916540682
7,0,40,0.2479544379748404
7,0,15,0.2380297600175254
7,2,30,0.22750766796525568
7,0,30,0.15209919400513172
7,0,0,0.005927827034611255
7,0,40,0.17590577399823815
7,2,0,0.2383322530076839
7,0,25,0.18707441602600738
7,0,15,0.1954561179736629
7,2,40,0.28839837595587596
7,2,25,0.10862518602516502
7,2,5,0.21155529401963577
7,2,5,0.11173044599127024
7,0,25,0.2004702030098997
7,0,35,0.11222666798857972
7,2,25,0.1875777859822847
7,0,35,0.309911628032568842
7,2,30,0.28931279501412064
7,0,30,0.15078002301743254
7,0,15,0.14974932599579915
7,2,30,0.28880925400881097
7,0,20,0.013962408993393183
7,0,15,0.211309941997751594
7,0,20,0.22502830799203366
7,2,15,0.2248226850060746
7,0,10,0.36716091400012374
7,2,30,0.18411342200124636
7,0,0,0.2674519319552928
7,2,40,0.2263860689708963
7,2,15,0.12503073998959735
7,0,10,0.211853581003379077
7,2,20,0.25541002897080034
7,2,0,0.21362185495672747
7,0,25,0.19908448797650635
7,0,5,0.12445557798491791
7,2,25,0.08934990002308041
7,2,15,0.18415232503321022
7,2,30,0.27954393598483875
7,0,35,0.04745418601669371
7,2,35,0.23527903098147362
7,0,5,0.29995811998378485
7,0,40,0.15740342397475615
7,0,30,0.13349969103001058
7,0,25,0.23290202097268775
7,0,25,0.194907752978615463
7,0,20,0.39184618095168844
7,0,10,0.20944990901043639
7,2,40,0.25301731296349317
7,2,35,0.311193296988494694
7,2,20,0.28254574501188472
7,0,30,0.1738828779780306
7,2,25,0.23658400296699256
7,0,40,0.197338366007898
7,0,35,0.16281526101520285
7,2,0,0.12976120499661192
7,0,25,0.21502267501782626
7,2,10,0.1049468019627966
7,2,10,0.21926809404976666
7,0,20,0.10356450697872788
7,0,15,0.258336376037914306
7,2,25,0.3385134619893506
7,0,15,0.230229840031825
7,2,5,0.0890732059488073
7,2,15,0.25182594696525484
