Face,Direction,Eccentricity,Reaction Time (s)
11,0,30,0.6167395579745062
9,2,40,0.7461984980246052
11,2,20,0.6393351299921051
11,2,5,0.6444303499883972
11,2,30,0.6410113110323437
9,2,10,0.6088687190203927
9,2,0,0.4038601419772021
11,2,35,0.7276378929964267
9,2,20,0.5692677390179597
9,2,40,0.8410130389966071
9,0,35,0.6141032599844038
9,2,25,0.6082865089992993
11,2,40,0.6330479130265303
11,0,5,0.5231827580137178
11,0,10,0.4695051040151156
11,0,25,0.5549147629761137
11,2,0,0.5913114959839731
11,2,40,0.7736626709927805
9,2,0,0.4725368169951253
9,0,30,0.580846961948555
9,2,20,0.5383059469982982
11,0,35,0.6719825580134057
11,2,10,0.5618834029650316
9,2,35,0.7295786489848979
9,2,10,0.5724663369823247
9,0,20,0.5675548139843158
11,2,15,0.4805186049896292
9,0,15,0.559929536015261
11,0,20,0.7222832670086063
11,0,35,0.7588662139605731
11,2,5,0.5206995200132951
11,0,40,0.6872798539814539
9,0,25,0.6130113919847645
9,2,35,0.5501745749847032
9,0,5,0.5692348020267673
11,2,10,0.5608157149981707
9,0,40,0.7665462379809469
9,0,5,0.7056321419659071
11,2,25,0.6005112599814311
9,0,20,0.4916822270140983
11,0,40,0.7803050230024382
9,0,10,0.5246068870299496
11,2,0,0.4584829379804432
9,2,5,0.627728174009826
9,0,35,0.5486597789800726
11,0,5,0.6227279710001312
11,2,35,0.7000550199882127
9,0,0,0.5847172359935939
11,2,25,0.8141647809534334
11,0,10,0.5477366559789516
9,2,10,0.6409810280310921
9,2,25,0.5283906200202182
11,0,25,0.6205198369920254
11,0,5,0.621714336972218
11,0,30,0.6221004869788885
11,2,40,0.7023392120026983
11,0,40,0.6339682299876586
9,2,20,0.5918548740446568
9,0,20,0.5675414460129105
9,0,5,0.5760942410328425
9,0,0,0.3114146220148541
11,2,15,0.4097646259935573
11,2,15,0.6331758929882199
11,2,35,0.6905690049752593
11,0,25,0.5945282479864545
9,0,30,0.6931845509679988
9,0,20,0.5608590560150333
9,2,5,0.5371617580065504
9,0,25,0.606908551948145
11,0,5,0.5663092759787105
11,2,0,0.4748095039976761
9,0,5,0.6345026969793253
9,0,25,0.6264976840466261
11,2,15,0.6700157650117762
11,2,10,0.7996981460019015
11,2,15,0.4531186399748549
11,2,15,0.5023344880295917
9,0,30,0.7350517070153728
11,0,25,0.691106780024711
11,2,10,0.6578068099915981
9,2,10,0.6085184470261447
11,2,10,0.6270353739964776
11,2,40,0.6566573919844814
9,0,15,0.6121994260232896
9,2,5,0.412439660995733
9,2,40,0.8279359250096604
9,0,10,0.7357207640307024
9,0,5,0.4557410249719396
9,2,5,0.5296994800446555
9,0,35,0.6635942069697194
11,0,10,0.585845295980107
11,2,20,0.6818412349675782
9,0,40,0.7373693910194561
9,0,20,0.77648327202769
9,2,15,0.6377977620344609
11,2,40,0.6257822209736332
11,2,5,0.5058891729591414
11,2,35,0.8722641200292856
11,2,25,0.6382482030312531
9,0,0,0.5738537260331213
9,0,10,0.6818725920165889
11,0,0,0.4543648430029862
11,0,0,0.4761783219873905
9,2,5,0.4953142620041035
11,2,25,0.6824197889654897
9,2,0,0.6014565470186062
11,2,30,0.5742081149946898
9,0,0,0.5400774729787372
9,0,15,0.6898757480084896
11,2,35,0.6378350679879077
11,2,40,0.6988755090115592
9,2,30,0.5366176449577324
11,0,10,0.6161700550001115
9,2,10,0.4805229069665074
11,2,0,0.5760976520250551
9,0,40,0.7205638510058634
11,2,0,0.5756394939962775
11,0,25,0.8009148300043307
9,2,20,0.7790052979835309
9,2,5,0.5720926930429414
11,2,20,0.5794878900051117
9,0,35,0.6146606109687127
9,2,35,0.5758714399533346
11,0,0,0.5030582630098797
9,0,15,0.5342940059839748
11,2,30,0.982430520048365
9,0,20,0.6980021100025624
9,2,30,0.8142681000288576
9,0,40,0.5890243760077283
9,2,30,0.6557783099473454
11,0,35,0.6502232900355011
9,2,25,0.673474632028956
9,0,5,0.4821569469757378
9,0,30,0.534669531986583
9,2,15,0.4905854990123771
9,2,25,0.4098290249938145
9,0,15,0.5274796949815936
9,0,25,0.508336477028206
9,0,10,0.5084929219912738
9,0,20,0.5018207819666713
11,0,30,0.7480533519992605
11,0,15,0.49450542498379946
11,2,35,0.6074095150106587
9,0,0,0.512422511994373
9,0,25,0.5052956660254858
9,0,15,0.5939839710132219
11,2,0,0.4010452119749971
9,2,15,0.643942819966469
9,0,20,0.6473688289988786
9,0,30,0.6290233149775304
11,0,15,0.7600086929742247
9,2,30,0.8867281250073574
9,0,35,0.734175983001478
11,2,0,0.502559452005662
11,0,35,0.894661097030621
11,0,10,0.417023624049034
11,2,25,0.5780480300309137
9,0,30,0.6042768389987759
11,0,15,0.7235155579983257
11,2,20,0.4686580730252899
11,2,30,0.7539755130070262
11,2,15,0.4961591750150546
11,0,40,0.6858183959848247
11,2,30,0.5838672169484198
11,0,10,0.5065213019843213
9,2,20,0.6543122919974849
9,2,30,0.7605819430318661
9,0,0,0.5654333870043047
9,0,0,0.45929290499771014
9,2,35,0.692714660987258
9,2,20,0.5155638119904324
11,2,5,0.4237564559909515
11,0,35,0.6616141449776478
11,2,40,0.7054911589971744
11,0,20,0.7470480459742248
11,2,25,0.6786221890361048
9,0,40,0.8582700740080327
9,0,30,0.690547798993066
11,0,40,0.7365863570012152
9,0,15,0.5843202120158821
