Face,Direction,Eccentricity,Reaction Time (s)
17,2,30,0.7792079459995875
15,2,5,0.8502901890009525
13,0,15,0.5141245340011665
17,0,10,0.6195960070002911
13,0,35,0.8855511349993321
17,2,0,0.78415945100096
15,2,20,0.7626198000016302
13,0,20,0.6517809600009059
15,0,30,0.8045779229996697
17,2,30,0.8707375009998941
15,2,35,1.0293457400002808
15,2,5,0.6413545910014363
13,2,20,0.6993582199993398
15,0,15,0.6513582719988335
15,0,0,0.4895692850004707
17,0,10,0.5271011770000769
15,2,25,0.7701729029995477
17,0,15,0.7034064599993144
17,2,40,0.7635984379994625
17,0,5,0.620705840000519
13,2,40,1.2668048309991718
15,2,0,0.62900078100065
15,0,35,0.6903690799990727
15,0,20,0.6002887089998694
15,0,5,0.6421790989988949
13,2,0,0.7617158029988786
17,2,25,0.7740220229989063
17,2,5,0.5495764629995392
15,2,20,0.9139720959992701
13,0,40,0.8741719849986112
17,2,10,0.639562479000233
13,0,10,0.4505626369988022
17,0,25,0.4697754580003675
15,0,40,1.221296292000261
15,0,35,0.7765858950006077
15,2,15,0.8733305869991455
17,0,20,0.5455336259998148
13,2,25,0.8013256489994092
17,2,5,0.6831607469997834
15,0,0,0.4196592450003664
15,0,40,0.7218385899996065
15,0,15,0.645287802999519
15,2,35,0.653947070999493
15,2,10,0.6501442640001187
13,2,10,0.7304102349989989
15,2,0,0.6273081189992809
17,0,20,0.443303559000924
13,0,10,0.8391768020010204
15,0,40,0.7944300229992223
15,0,30,0.8194802389989491
17,2,5,0.3509427400014829
15,0,10,0.781530895999822
15,2,15,0.6373514520000754
13,2,40,0.9831461810001201
13,2,5,0.4195566810009041
15,0,25,0.5620500100001664
15,2,35,0.8224446959993656
13,0,40,0.9450000190008723
13,0,30,0.5392590129988093
17,0,30,0.8819721799991385
17,0,35,0.6979997719990934
17,0,0,0.6934548350000114
15,2,20,1.2409832890007237
17,2,10,0.8525462620000326
13,2,15,0.7277150659992913
17,2,35,0.9482359760004329
15,2,15,0.87751778799975
17,0,10,0.7363054159999592
13,2,10,0.6346310480003012
13,0,20,0.9389944939994166
17,0,25,0.9645156269991276
13,0,35,0.8372277309994388
13,0,35,0.898399617000905
17,0,25,0.8476066309995076
13,2,30,0.7904980380008055
17,2,20,0.7626251379988389
15,0,15,0.6536479389997112
17,0,30,0.7667601450011716
15,0,15,0.6897012869994796
17,2,10,0.7461673639987566
15,2,20,0.6737999640008638
15,0,0,0.7063782040004298
13,0,20,0.8196147649996419
17,2,30,0.8084094549994916
15,0,10,0.6925263999997696
15,2,25,0.6708078550000209
13,0,20,0.8378455969996139
17,2,30,1.097747582998636
13,0,10,0.7339740930001426
17,0,0,0.5968842520007456
13,2,25,0.7762995359989873
17,2,30,0.9232922890005284
15,0,5,0.6567877769994084
17,2,5,0.7582816290014307
17,2,25,0.7205325610011641
13,0,0,0.5026374690012744
13,2,15,0.7020749000002979
17,2,30,0.7170850160000555
15,0,35,0.9065574500000366
17,2,35,0.8159685849987
17,2,40,1.1589425830006803
15,2,0,0.7212441100000433
13,2,0,0.6559980309993989
15,2,20,0.7256191610013047
17,0,15,0.6530588040008297
15,2,20,0.719172138000431
17,2,35,0.9302852689997962
17,0,25,0.7906201360001432
15,0,20,0.6871510899989516
13,2,15,0.7242735439995158
13,2,30,0.7424961409997195
17,0,15,0.8670989089987415
17,0,5,0.4795911720008007
17,2,10,0.9659347300002992
13,0,25,0.7959050270001171
17,0,35,0.9050646140000026
17,0,30,0.6466868010000326
13,2,35,0.8050558130016725
15,0,30,1.0172818580031162
15,2,0,0.4541749199990591
13,2,40,0.7383769319967541
13,2,20,0.6455140360012592
15,2,35,0.9041370249979082
13,0,25,0.8487065650006116
15,0,30,0.6658467259985628
13,0,10,0.6303610459988704
13,2,5,0.6236250120033219
17,0,25,0.9482070310004929
17,0,25,0.7303617739999027
17,0,0,0.5101901320034813
13,0,35,0.6327226240027812
13,0,25,0.5213120120002714
17,0,35,0.9793553329989663
15,0,0,0.6466839109972352
13,0,5,0.7439065129983646
15,0,40,1.0806828919994587
15,0,10,0.6690073639983893
13,0,40,0.725194302998716
15,2,40,0.936200846999418
17,2,15,0.7200720690016169
15,0,5,0.365315812001063
13,2,0,0.657879263999348
15,0,20,0.7832215180023923
13,0,0,0.6972985600004904
15,2,0,0.5410806819971185
17,0,15,0.4737430710018089
15,2,15,0.983380218000093
15,2,15,0.7743860589980613
17,0,40,0.9502231459970062
17,2,35,0.6802102159999777
15,2,10,0.586183919000905
17,2,25,0.7107588260005286
13,0,5,0.4649884870006645
15,2,15,0.7034012330004771
13,2,25,0.72371013099837
13,2,40,0.9087096290000773
15,0,5,0.6838422330023604
13,2,35,0.709651801000291
15,0,40,0.772717816002114
17,2,5,0.7723407180019422
17,2,10,0.3724986180000997
17,2,30,0.622634098999697
17,2,40,0.65550033999898
17,2,5,0.5636327859974699
15,2,30,0.7931238210003357
13,0,5,0.5942834759989637
17,2,10,0.9462826629984193
17,2,25,0.6277171010005986
13,0,15,0.6998561920030625
17,2,0,0.459175609000522
13,0,20,0.5511260530009167
15,2,20,0.875111413999548
13,2,40,0.798289399001078
15,0,40,0.9606936410011258
15,0,5,0.6858438550007122
15,0,30,0.8081517779974092
17,2,25,0.9651829139984329
15,0,0,0.6557381090009585
15,2,40,1.1621149409984355
13,0,30,0.9889957490006054
