Face,Direction,Eccentricity,Reaction Time (s)
3,2,5,0.5756167710005684
3,2,40,0.6182808909993037
3,0,0,0.5147985919982602
3,2,30,0.5703324789992621
1,0,40,0.7525451980000071
1,2,40,0.5559816619988851
3,2,0,0.5689331140001741
1,2,15,0.696142927999972
1,0,15,0.6865992839993851
3,0,30,0.6496997590005776
3,2,20,0.5487348489998112
3,0,10,0.4828633090011863
1,2,5,0.6685157899995829
3,0,25,0.8419820439998148
3,0,5,0.6234665310003038
3,2,0,0.4177728729995579
3,2,40,0.7406987289996323
1,2,0,0.3305430170003092
1,2,15,0.4703743889993348
1,0,40,0.6986203690012189
1,2,30,0.4217044419990998
1,2,20,0.5999823610000021
3,0,20,0.4559717100015405
3,0,35,0.6951915139998164
3,0,5,0.5045379869996395
3,0,15,0.610921101000713
3,2,30,0.6105800740006089
3,0,5,0.3393467319983756
1,0,0,0.5020548559994495
3,2,25,0.4740702970000712
1,2,15,0.4352143989995966
1,2,35,0.8154394079992926
1,2,30,0.5364322949997586
3,0,30,0.6336658409989468
3,2,25,0.5814707409994298
1,0,5,0.4105394290010736
3,0,20,0.5775464940004895
1,0,30,0.4789829459987232
1,0,10,0.5968297600004007
3,0,40,0.723663545999807
1,0,10,0.3987001070010592
1,2,20,0.6165449870004522
1,2,30,0.7205486570001085
3,0,10,0.5443722050003998
1,2,35,0.6161905540011503
1,0,0,0.3935764089994336
3,0,15,0.6847993779992976
3,2,25,0.6269980420001957
1,0,20,0.7274470439988363
3,0,35,0.5860705629991571
1,2,5,0.7886399369999708
1,0,10,0.6763200289988163
3,2,35,0.700463408998985
3,2,0,0.3962228360014706
1,0,25,0.411853309000071
3,0,0,0.473202501999549
3,0,35,0.7733035380006186
1,2,25,0.6622915850010031
1,0,0,0.4372986450001918
1,0,35,0.5820049170004495
3,2,0,0.6551962920002552
1,0,10,0.496653764000439
1,2,5,0.5541695009997056
3,0,30,0.842449862999274
1,2,30,0.8186532220006484
3,0,30,0.50568254800055
1,0,25,0.5809364460012148
3,2,20,0.7943940850000217
1,0,20,0.6123740319999342
1,0,15,0.5066259880000871
3,0,5,0.6652738789998693
1,0,30,0.6444239959990227
3,0,0,0.3955552710001939
1,2,5,0.5816983129989239
1,0,20,0.5482054120006069
1,2,35,0.8460735759985255
1,2,40,0.620187350998458
3,2,0,0.3857216000003973
1,0,25,0.6191375519996654
3,0,20,0.7102924350012472
1,2,10,0.6605988539995451
1,0,35,0.8866076289996272
3,2,30,0.6709435419990768
1,0,30,0.7718576719998964
1,2,25,0.6775160979988868
1,0,5,0.4916289029995824
3,0,15,0.4191780789999029
1,0,40,0.6499947019994579
3,0,15,0.5489670550017763
3,2,5,0.57786850499906
3,2,40,0.8760847600002307
1,0,35,0.6665082109997456
1,0,10,0.6518847789993742
3,2,5,0.4008730849996937
3,2,0,0.469667467000545
1,0,40,0.5908906689997821
3,0,30,0.8431632360006915
3,2,15,0.3964133980000042
1,2,35,0.7645825559993682
3,0,15,0.588710895999975
3,0,15,0.5182717509986105
1,2,15,0.5874665889994503
3,2,15,0.5590048349993594
3,2,30,0.7048964990008244
1,0,0,0.4215129229985905
1,2,30,0.6632807070000126
3,2,15,0.7839306309997482
1,0,30,0.5114002740003343
3,0,25,0.826942435998717
3,2,10,0.4959005750002689
1,0,5,0.4966339079990576
3,0,10,0.5131206670008396
3,2,10,0.3523063100015861
1,0,5,0.3715385219991731
3,0,25,0.506346723000388
1,2,20,0.6677951410001697
3,0,35,0.8527581239995925
3,2,20,0.5442927790005342
1,2,5,0.4047243810000509
3,0,20,0.8359121609992144
1,2,35,0.8003435929986153
1,0,35,0.4593036950001988
3,0,0,0.5470634290002636
3,2,35,0.5868492850003531
1,2,25,0.6543466009996337
3,2,40,0.7080829330006964
3,2,35,0.6881415320003725
1,2,10,0.4352762259997689
1,0,20,0.4988017539995781
3,0,40,0.5493671880012698
3,0,0,0.5348288889992546
3,2,40,0.8428730920000817
3,2,10,0.7807313299999805
1,2,0,0.4695724839984905
1,2,25,0.8431286530012585
1,0,25,0.7018411549997836
1,0,35,0.5780446250002569
1,0,0,0.544946729000003
3,0,35,0.5399832409992086
1,0,20,0.7789239120011189
1,0,15,0.5342677359989466
3,2,35,0.5740337510003883
1,0,20,0.5614636600010272
3,0,10,0.6018340390004596
1,2,10,0.4933268039996619
1,2,10,0.544303836999461
1,2,25,0.6711658650001482
3,0,5,0.6994310599984601
1,0,5,0.3543905180002184
1,0,25,0.568304472001546
1,0,25,0.4685085509998316
3,0,10,0.4711253680008667
1,0,15,0.4175190600006317
1,2,30,0.611044244000368
1,2,40,0.6307596110000304
1,2,0,0.5942294430005859
1,2,20,0.5840764929998841
3,2,10,0.599076116001379
1,2,5,0.539428828000382
1,2,40,0.6859366389999195
1,2,35,0.5005531229999178
1,0,40,0.7893660730005649
3,2,15,0.4888379370000621
1,0,40,0.4576316909995512
3,2,25,0.692591427999505
1,2,25,0.4126598540009581
3,2,0,0.5679151670014107
1,0,30,0.4404959510007757
1,0,40,0.9224751820001984
1,2,15,0.7085586270004569
1,2,20,0.502144459999181
3,2,10,0.4590570480006136
1,0,40,0.7703624149999087
1,2,40,0.9043392670002504
1,2,10,0.4941665569989709
1,0,25,0.3484808099994552
1,2,15,0.4715384039991477
1,2,20,0.4309113759998581
1,2,20,0.3305441449989303
3,2,5,0.394679028999235
