Face,Direction,Eccentricity,Reaction Time (s)
23,2,40,0.6504348
21,2,0,0.6822771
21,2,30,0.6754649
21,0,20,0.6043382
21,2,10,0.6715944
19,0,5,0.6437647
23,2,35,0.6196836
21,0,25,0.7568335
21,0,40,0.7458412
19,0,0,0.5627313
21,2,5,0.5599022
23,2,15,0.4920098
23,0,35,0.6199864
23,0,15,0.6874593
19,2,20,0.60131954
23,0,30,0.6855418
21,0,10,1.0552743
23,2,25,0.5709118
23,0,10,0.7136393
19,2,0,0.4611362
21,0,30,0.904583
23,0,20,0.636637
19,2,10,0.6080922
23,2,40,0.6582392
19,2,35,0.7028804
23,0,10,0.6576264
23,0,5,0.650832
21,0,20,0.6691919
23,2,30,0.6805449
21,0,15,0.6658141
23,0,5,0.5141653
21,0,40,0.6200836
19,0,15,0.536625
23,0,35,0.6784181
21,2,40,0.6787566
23,0,25,0.6377073
19,0,30,0.6993026
19,2,15,0.6215562
19,0,35,0.8186233
19,2,20,0.7546303
21,2,5,0.6541303
19,0,10,0.6808683
23,0,10,0.6589066
19,0,40,0.8584604
23,0,20,0.8360905
23,0,35,0.8077924
21,0,0,0.7218474
21,0,25,0.6532738
21,2,35,0.5689173
23,0,40,0.633365
23,2,10,0.5911733
19,0,25,0.6988784
23,0,40,0.61391874
19,2,30,0.7195331
19,2,5,0.5344191
23,0,40,0.7526869
19,0,40,0.7614217
21,0,0,0.6397914
23,2,0,0.6682652
19,0,15,0.5849685
21,2,10,0.5111311
23,0,20,0.7481735
23,0,30,0.5789237
23,0,20,0.5763273
21,2,5,0.8456324
23,2,35,0.8039988
23,2,30,0.5652243
23,0,15,0.5355475
19,0,0,0.5531067
19,2,35,0.5935831
19,2,10,0.6008957
19,2,5,0.5947495
21,2,35,0.7600504
19,2,30,0.7261467
19,0,30,0.655517
21,0,0,0.6433522
23,0,25,0.6135996
23,0,25,0.6030905
23,2,30,0.6391912
23,0,5,0.5839583
23,0,20,0.5209144
23,2,25,0.6119967
23,2,15,0.4788044
19,2,25,0.8165542
19,2,0,0.566401
23,2,40,0.5903446
19,0,40,0.6541519
23,2,0,0.713656
19,2,40,0.7833419
21,0,0,0.7874866
23,0,30,0.704645
21,2,25,0.5971994
19,0,35,0.8079725
19,2,20,0.5991445
19,2,15,0.4836348
21,2,10,0.7429105
21,0,5,0.8063673
19,0,10,0.7213228
23,0,5,0.6673086
23,2,40,0.7200419
23,0,25,0.684132
21,0,15,0.7534138
23,0,35,0.7384682
21,2,5,0.7243886
23,2,10,0.7455737
19,0,15,0.7386024
19,2,20,0.6871517
19,2,10,0.578283
23,2,25,0.7910844
23,2,15,0.6158383
19,0,0,0.5355663
21,2,15,0.621184
21,2,35,0.6757071
23,0,0,0.6982979
23,0,30,0.7035244
19,2,35,0.7297736
21,0,25,0.6893321
19,0,5,0.560459
21,0,0,0.7618062
19,2,30,0.7199533
19,0,10,0.7048504
19,2,0,0.6187497
21,0,0,0.5701163
19,2,5,0.8978251
21,0,5,0.6188161
21,2,30,0.699541
23,2,0,0.3641704
23,0,15,0.5725433
19,2,20,0.7136956
19,2,20,0.7692751
19,0,35,0.5158694
19,0,25,0.5615419
21,0,30,0.6125968
19,0,15,0.609067
23,2,20,0.7465794
21,2,0,0.7284469
21,2,5,0.6094244
19,0,10,0.6281527
23,2,35,0.8833302
19,2,10,0.6938305
23,0,25,0.767666
23,2,25,0.7121918
21,2,5,0.4777096
23,2,15,0.4916849
19,2,25,0.6684074
23,0,15,0.6488308
23,2,35,0.40246361
21,0,5,0.6249486
21,0,25,0.7356056
23,2,15,0.6102855
19,0,30,0.6301775
21,0,15,0.7052723
21,2,15,0.7925342
21,2,10,0.7025819
23,2,25,0.732259
23,2,10,0.7480468
19,0,10,0.7706867
23,2,25,0.6699037
19,0,10,0.8334413
19,2,40,0.8077928
19,0,5,0.8380112
23,2,20,0.8075315
19,0,30,0.8482294
23,2,35,0.7563395
23,2,5,0.6838929
19,0,15,0.8198838
19,0,40,0.6256411
23,0,35,0.8249377
19,2,0,0.6387289
21,2,30,0.7561422
19,0,40,0.7167048
19,0,30,0.5739589
23,0,15,0.6611242
21,0,5,0.6224313
23,0,40,0.8222588
21,2,10,0.6178255
23,0,0,0.7845987
21,2,35,0.6466402
21,2,10,0.7539314
19,2,20,0.6775681
21,0,30,0.6545445
23,0,25,0.5936856
23,2,0,0.6304002
21,0,25,0.4978463
19,0,10,0.7873424
23,2,5,0.6490301
21,0,35,0.6964024
23,2,30,0.8953398
19,0,20,0.7439229
19,2,25,0.6671949
23,0,0,0.5568345
23,0,0,0.6268669
23,2,5,0.6101695
23,2,15,0.5109062
19,2,25,0.6499694
19,0,35,0.6280766
21,0,15,0.9776324
19,2,40,0.9703826
19,2,15,0.5381184
21,0,30,0.799208
19,0,15,0.70912839
21,0,35,0.7768656
19,2,15,0.6753009
21,0,5,0.7253342
19,2,30,0.6092777
21,0,0,0.654823
19,0,20,0.7263209
23,0,30,0.6934298
19,0,20,0.5858313
19,0,15,0.7723698
23,0,10,0.4011771
19,2,40,0.6586569
23,0,25,0.9689677
23,0,5,0.6106776
21,0,0,0.6757032
23,2,20,0.7657381
23,2,25,0.871364
