Face,Direction,Eccentricity,Reaction Time (s)
5,2,15,0.2606909000023734
5,2,30,0.24429610000515822
5,2,20,0.003988500000559725
5,2,35,0.22132840000267606
5,0,15,0.21201440000731964
5,2,40,0.23202280000259634
5,2,5,0.25140680000185966
5,0,30,0.48727579999831505
5,0,25,0.2426264999958221
5,0,10,0.008623500005342066
5,0,40,0.21965250000357628
5,0,20,0.4174282000021776
5,0,30,0.26279830001294613
5,2,35,0.2199562000023434
5,2,25,0.22501910000573844
5,0,15,0.22084829999948852
5,2,5,0.21392710000509396
5,2,35,0.04935400000249501
5,0,25,0.23135619999084156
5,0,5,0.21364850000827573
5,0,40,0.25160329999926034
5,2,25,0.24960229999851435
5,0,10,0.2631435999937821
5,0,10,0.19444320000184234
5,2,15,0.2380189999967115
5,2,15,0.359605499994359
5,0,0,0.29384110000682995
5,0,40,0.2519060999911744
5,0,30,0.2520594999950845
5,2,30,0.22909940000681672
5,2,35,0.294763600002625
5,0,15,0.06788570000207983
5,2,30,0.254577400002745
5,0,0,0.26869860000442713
5,0,5,0.28897509998932946
5,0,5,0.26516630001424346
5,0,10,0.21757480000087526
5,0,10,0.06653499999083579
5,2,20,0.4000698000018019
5,0,35,0.12480479999794625
5,2,40,0.2304777999961516
5,2,5,0.23076300001412164
5,2,15,0.24017200000525918
5,0,40,0.22809389999019913
5,2,40,0.21868780000659171
5,0,15,0.23178719999850728
5,0,15,0.13515290000941604
5,2,30,0.2385325999930501
5,2,30,0.23245939999469556
5,0,30,0.0186964999884367
5,0,0,0.24029220000375062
5,2,0,0.24438740000186954
5,2,35,0.2235116000083508
5,2,15,0.26641599999857135
5,2,35,0.3432678999961354
5,2,30,0.26444899999478366
5,0,15,0.10385020000103395
5,2,20,0.2473732999933418
5,0,30,0.22666000000026543
5,0,20,0.28900059999432415
5,2,10,0.3417037000035634
5,0,0,0.2530735999898752
5,2,20,0.2219224000000395
5,0,15,0.21366500000294764
5,2,0,0.25858020001032855
5,0,15,0.3125866999907885
5,2,5,0.2741390000010142
5,2,25,0.25354750000406057
5,0,30,0.24074239999754354
5,0,35,0.31706040000426583
5,0,20,0.25641360000008717
5,2,25,0.2115732999955071
5,2,0,0.20852640000521205
5,2,25,0.2438248999969801
5,2,0,0.2508109000045806
5,0,35,0.21375179999449756
5,2,40,0.1357877999980701
5,2,15,0.23604319999867585
5,2,10,0.27574080000340473
5,2,0,0.25721990001329686
5,0,0,0.27458159999514464
5,2,10,0.21820360000128858
5,0,25,0.25814800000807736
5,2,30,0.2383446999883745
5,0,20,0.33391659999324474
5,0,5,0.2310659999930067
5,0,20,0.21031229999789502
5,0,35,0.23482959999819286
5,2,20,0.2955876000050921
5,2,30,0.2760721999948146
5,2,40,0.18693809999967925
5,0,35,0.22482589998980984
5,2,25,0.3163120999961393
5,0,35,0.24272819999896456
5,2,35,0.14206640000338666
5,0,25,0.42706830000679474
5,0,0,0.32946399999491405
5,2,5,0.22646659999736585
5,2,15,0.25012080000306014
5,0,25,0.24463200000172947
5,0,5,0.287706100003561
5,0,10,0.2627238999994006
5,0,35,0.22667299999739043
5,2,20,0.22305889999552164
5,2,35,0.26802679999673273
5,2,25,0.2458555999910459
5,0,35,0.2234794999967562
5,2,5,0.3689616999909049
5,0,30,0.1879068999987794
5,2,15,0.32214899999962654
5,0,30,0.25479740000446327
5,2,20,0.25849269999889657
5,0,10,0.22691060000215657
5,0,35,0.22500960000616033
5,0,40,0.22785390001081396
5,2,40,0.31535299999814015
5,2,10,0.22161449999839533
5,0,25,0.2129895999969449
5,2,5,0.22978689998853952
5,0,20,0.21103920000314247
5,2,40,0.21772170001349878
5,2,0,0.20643869999912567
5,2,10,0.21092549999593757
5,2,30,0.2381223999982467
5,0,5,0.16515690000960603
5,0,10,0.26325740000174847
5,0,25,0.21846070000901818
5,0,35,0.28275110000686254
5,0,40,0.20006210000428837
5,2,10,0.2502624000044307
5,0,0,0.26490959999500774
5,2,35,0.24685080000199378
5,2,40,0.34451130000525154
5,0,5,0.40362050000112504
5,2,35,0.24520669999765232
5,0,40,0.21999139999388717
5,2,5,0.24415630000294186
5,0,20,0.27175940001325216
5,2,5,0.2323811999958707
5,2,0,0.310967299999902
5,2,15,0.2710938999953214
5,2,10,0.2188688999885926
5,0,15,0.10786259999440517
5,0,10,0.01354259999061469
5,2,40,0.16259890000219457
5,2,5,0.23145960000692867
5,2,10,0.2144202000054065
5,0,20,0.1266660000110278
5,0,40,0.22301270000752993
5,0,40,0.2004445000056876
5,0,40,0.25921639999432955
5,2,40,0.20417409999936353
5,2,20,0.22093370000948198
5,2,0,0.08904459999757819
5,0,25,0.20502049999777228
5,0,30,0.16043429999263026
5,2,30,0.21507310000015423
5,0,0,0.21650660000159405
5,2,20,0.21433950000209734
5,2,10,0.37656660001084674
5,2,10,0.33522330000414513
5,0,20,0.21136689999548253
5,2,0,0.24451560000306927
5,0,0,0.25319619999208953
5,0,25,0.24987500000861473
5,0,10,0.3048479999997653
5,0,30,0.48635740000463556
5,2,25,0.23232840000127908
5,2,25,0.23269819999404717
5,2,20,0.2371322999970289
5,2,15,0.05729940001037903
5,0,5,0.22369319999415893
5,0,5,0.24301099999865983
5,0,20,0.25166980001085903
5,0,0,0.23956480000924785
5,0,15,0.06258739999611862
5,0,5,0.2172625999955926
5,2,0,0.2883492000109982
5,2,25,0.2163354999938747
5,0,25,0.3048080000007758
