Face,Direction,Eccentricity,Reaction Time (s)
7,0,25,0.32098459999542683
7,0,40,0.38361049999366514
7,2,40,0.24847540000337176
7,2,15,0.040861200002836995
7,2,5,0.2735648000088986
7,2,15,0.2206123999931151
7,2,25,0.23701309999160003
7,2,20,0.1919420999911381
7,2,30,0.15657999999530148
7,2,15,0.06122980000509415
7,0,15,0.3701954999996815
7,0,30,0.26749340000969823
7,0,20,0.14633580000372604
7,2,0,0.24939179999637417
7,0,15,0.24598430001060478
7,2,15,0.09648180000658613
7,2,40,0.20532219999586232
7,0,15,0.21597710000060033
7,2,5,0.39556289999745786
7,0,30,0.4133426999906078
7,2,35,0.3055577000050107
7,0,0,0.2636029999994207
7,2,25,0.026968200007104315
7,2,30,0.18772529999841936
7,2,10,0.08651610001106746
7,0,20,0.2495236999966437
7,2,30,0.14004850000492297
7,0,30,0.2522304999874905
7,0,35,0.3643873000110034
7,0,40,0.2542468000028748
7,2,25,0.35248329999740236
7,2,30,0.19884409999940544
7,2,40,0.23576569999568164
7,0,25,0.25600339999073185
7,2,15,0.3552235999959521
7,0,25,0.24342369999794755
7,0,0,0.09050060001027305
7,2,35,0.25570180000795517
7,2,5,0.25569170000380836
7,0,25,0.2844511000002967
7,2,25,0.2026861999911489
7,2,10,0.23924959999567363
7,2,30,0.3496236999926623
7,0,30,0.2543329000036465
7,2,20,0.2424064999941038
7,2,0,0.24234310000611003
7,2,10,0.19946790000540204
7,2,10,0.08258919999934733
7,0,35,0.11856630000693258
7,2,20,0.02404279999609571
7,2,0,0.28478139999788254
7,0,5,0.22031020000576973
7,2,10,0.23751690000062808
7,0,15,0.2416289999964647
7,0,40,0.24261260000639595
7,2,35,0.1900452999980189
7,0,10,0.16883900000539143
7,2,20,0.07457489999069367
7,0,5,0.026235500001348555
7,2,20,0.04024720001325477
7,0,5,0.10071259998949245
7,0,25,0.1812294999981532
7,2,0,0.028887299995403737
7,0,40,0.05637829999614041
7,0,25,0.091726300001028
7,2,0,0.27676619999692775
7,0,40,0.09300720000464935
7,0,40,0.668021100005717
7,2,40,0.23021170000720304
7,2,30,0.3289093000057619
7,0,10,0.38194320000184234
7,0,35,0.27616649999981746
7,2,15,0.22069279999413993
7,0,5,0.199093899995205
7,0,5,0.3428509000077611
7,0,20,0.23727749999670777
7,0,40,0.33612279999942984
7,0,30,0.22747879999224097
7,0,30,0.21628890000283718
7,2,25,0.2625908000045456
7,2,40,0.27960379999422
7,0,15,0.25519440000061877
7,2,40,0.2822411000088323
7,0,40,0.16191059999982826
7,2,20,0.17585699999472126
7,0,15,0.17552079999586567
7,2,5,0.0011151000071549788
7,2,10,0.23389219999080524
7,2,35,0.24047750000318047
7,2,20,0.28537759999744594
7,0,35,0.36592929999460466
7,2,25,0.21734019998984877
7,2,15,0.21645100000023376
7,2,20,0.3489160000026459
7,2,5,0.25058789999457076
7,0,5,0.24692600000707898
7,0,10,0.2651115999906324
7,0,25,0.2050454999989597
7,2,10,0.32102069999382365
7,0,5,0.39017109999258537
7,2,25,0.2518178999889642
7,0,5,0.2212437999987742
7,2,15,0.25875880000239704
7,0,10,0.23421910000615753
7,0,20,0.3014491999929305
7,0,20,0.24816260000807233
7,0,15,0.25358350000169594
7,0,20,0.13836250000167638
7,2,5,0.2324166000034893
7,2,5,0.16971770000236575
7,0,35,0.23479129999759607
7,0,10,0.23345569999946747
7,0,10,0.2274464999936754
7,2,35,0.20696569999563508
7,2,30,0.43584769999142736
7,0,30,0.4423891000042204
7,0,25,0.3959869999962393
7,2,15,0.2645104999974137
7,2,25,0.2618903999973554
7,2,0,0.2788983999926131
7,2,40,0.6434779000119306
7,0,0,0.23570430000836495
7,0,0,0.2481759000074817
7,0,20,0.2386421999981394
7,2,5,0.26738180000393186
7,0,20,0.28627029999915976
7,0,20,0.07139310000638943
7,2,30,0.39760630000091624
7,2,0,0.5242820999992546
7,0,35,0.20894879999104887
7,0,15,0.2634451000049012
7,2,40,0.26141229999484494
7,0,15,0.3145797000033781
7,0,0,0.22750429999723565
7,0,30,0.45193619999918155
7,2,35,0.24838140000065323
7,2,35,0.21489119999750983
7,0,0,0.23601400000916328
7,0,15,0.20730149999144487
7,0,30,0.3282809999946039
7,2,20,0.2614591999881668
7,2,5,0.24282330001005903
7,0,20,0.20905280001170468
7,2,0,0.2539430999895558
7,0,25,0.2503161999920849
7,0,35,0.253802999999607
7,2,30,0.1048237000068184
7,2,25,0.3210537999984808
7,2,5,0.20222609999473207
7,0,5,0.3114198999974178
7,2,25,0.2533012000058079
7,2,0,0.32024939999973867
7,0,10,0.214358600002015
7,0,0,0.1544766000006348
7,2,20,0.23443209999823011
7,2,40,0.16781860000628512
7,0,10,0.2577310999913607
7,2,15,0.2093314000085229
7,2,35,0.33276560000376776
7,2,40,0.28812190001190174
7,2,10,0.2739411999937147
7,2,30,0.035802099999273196
7,0,0,0.08614260000467766
7,0,0,0.24766989999625366
7,0,0,0.2098680999915814
7,0,30,0.16897299999254756
7,0,40,0.1468355000106385
7,0,35,0.16211230000772048
7,0,5,0.24278869999398012
7,2,10,0.22613599999749567
7,0,10,0.2543173000012757
7,0,40,0.23344739999447484
7,2,10,0.48052450000250246
7,2,35,0.2596845000080066
7,0,25,0.23384999998961575
7,2,35,0.27720559999579564
7,0,10,0.23509220000414643
7,2,0,0.15579940000316128
7,0,35,0.1917430999892531
7,0,35,0.029276100001879968
