Face,Direction,Eccentricity,Reaction Time (s)
9,2,5,0.5833220999920741
9,0,15,0.7481483000010485
9,0,0,0.4935301000077743
9,0,20,0.5414460000029067
11,2,40,0.7946992999932263
11,2,20,0.7399946000077762
11,2,20,0.6548959000065224
11,2,0,0.769236499996623
9,2,5,0.5432863000023644
11,2,25,0.7991957999911392
11,0,20,0.7436834999971325
9,0,40,0.7826740000018617
11,0,25,0.766071699996246
11,2,15,0.6045849999936763
9,0,0,0.5691921000106959
9,0,25,0.8347156999952858
9,0,0,0.6967655000044033
11,0,25,0.8355140000057872
9,0,0,0.6345582000067225
11,2,20,0.8042413999937708
11,0,30,0.7680452000058722
11,0,10,0.8635165999876335
9,2,25,0.6444816000002902
11,2,40,0.8748510000004899
11,2,30,0.6928120999946259
11,0,15,1.046092000004137
11,0,15,0.5344660999980988
11,2,15,0.6342237999924691
9,2,30,0.5339932999922894
11,0,25,0.5937345000129426
9,0,35,0.7329421999893384
11,2,5,0.495559900009539
11,2,10,0.7437924000114435
11,0,35,0.7468932999909157
11,2,30,0.5579097000008915
11,2,15,0.47483370000554714
11,2,35,0.6157741000060923
9,2,40,0.8100489000062225
11,2,10,0.6559505000041099
9,0,5,0.6814128999976674
9,0,35,0.7965901999996277
11,2,25,0.8628334999957588
9,2,10,0.6201074000127846
11,2,40,0.6592424999980722
11,0,40,0.7983770999999251
11,0,15,0.6507925000041723
11,2,10,0.5345661000028485
11,0,20,0.9251012000022456
11,2,15,0.47993839999253396
9,0,5,0.7512677000049734
11,2,0,0.5220304999966174
9,0,15,0.7054377000022214
11,2,25,0.5218504999938887
9,0,5,0.5957013000006555
11,2,0,0.5909950000059325
11,2,5,0.5577557999931742
9,0,15,0.592496500001289
11,0,40,0.7038278999971226
11,2,20,0.5855831000080798
9,0,20,0.6713030999962939
11,2,30,0.6210060000012163
9,0,25,0.5820430999883683
11,0,25,0.7457111999974586
11,2,25,0.5331363000004785
11,0,10,0.6224171000067145
11,0,30,0.5639856000052532
9,0,30,0.6565953000099398
11,0,15,0.6135548000020208
11,2,15,0.6420604000013554
11,2,30,0.5942366999952355
9,0,10,0.7416421999951126
11,0,40,0.6396438999945531
11,2,0,0.7065648999996483
11,2,30,0.7861760999949183
11,2,40,0.5803018999868073
11,2,20,0.5158895999920787
9,2,35,0.6786663999955636
11,2,35,0.7573412000056123
9,0,15,0.6295126000040909
11,2,30,0.6972077999962494
9,0,40,0.768956400002935
9,2,40,0.8279781999881379
9,0,25,0.5496686999977101
11,2,40,0.8975886999978684
11,2,0,0.6043160999979591
11,0,5,0.38829440000699833
11,0,10,0.4617615000024671
11,0,0,0.6547142999916105
11,0,20,0.7068074999988312
9,0,35,0.7052355000050738
9,0,0,0.8572645999956876
9,2,40,0.9469498999969801
9,2,10,0.5775307000003522
9,2,5,0.464036399993347
9,2,10,0.4595658000034746
9,2,35,0.580582399998093
11,0,10,0.581293099996401
11,2,10,0.5755761000036728
9,2,35,0.5875419000076363
9,2,30,0.3957799000054365
11,2,35,0.631007200005115
11,0,0,0.4919532000058098
11,2,20,0.528008499997668
9,0,30,0.6501234000024851
9,2,35,0.4912036000023363
9,2,5,0.5365025999926729
9,2,5,0.45851570001104847
9,2,20,0.4716838000022108
9,2,25,0.7770891999971354
9,0,5,0.5180221000046004
9,2,15,0.46092359999602195
9,2,30,0.4972311000019545
9,2,35,0.3673792999907164
9,2,35,0.47999829999753274
11,0,20,0.5691916999930982
9,2,5,0.9442227999970783
11,0,40,0.6375384000129998
9,2,40,0.6683162999979686
11,0,30,0.7732773999887286
11,2,25,0.6397905000048922
9,2,0,0.5767636000091443
11,0,40,0.6382908999948995
11,2,15,0.5717149000120116
11,2,35,0.5378195999946911
11,0,35,0.56556869999622
11,2,20,0.7894531000056304
9,2,15,0.695781899994472
9,2,10,0.7655697000009241
11,0,0,0.4293486000096891
9,0,10,0.6277152999973623
9,0,15,0.6434846999909496
11,0,5,0.6230864999961341
11,0,25,0.4884953000000678
9,0,35,0.9434405000065453
9,0,35,0.6687907000014093
11,2,15,0.6551907000102801
9,0,40,0.640545900008874
9,0,25,0.7149719999870285
11,0,30,0.6247049000085099
9,2,5,0.6195027999929152
9,2,25,0.6387088999908883
9,2,5,0.5861207000125432
11,0,30,0.6584711000032257
11,0,0,0.9057310000061989
9,0,5,0.6721575000119628
11,2,20,0.8205598000058671
9,0,10,0.790014499987592
9,2,0,0.3299187999946298
11,0,25,0.540378600009717
9,0,20,0.6833221999986563
9,0,20,0.7870844999997644
11,0,40,0.7555259999935515
11,0,35,0.7226537999958964
11,2,40,0.8299425000004703
9,0,5,0.5928672000009101
11,0,15,1.014777199990931
11,2,0,0.6944316000008257
9,2,25,0.7791402000002563
9,2,25,0.431151900003897
11,0,40,1.0293960999988485
11,2,10,0.49945540000044275
11,0,30,0.5556384999945294
11,0,35,0.6970715999923414
11,2,0,0.7277938000042923
9,0,5,0.4870959999971092
11,0,30,0.8722699000063585
11,0,35,0.7941302000108408
11,2,20,0.7085175999964122
11,0,20,0.8637006999924779
9,0,0,0.5692485999898054
9,2,10,0.5512238999945112
11,2,0,0.6377610999916214
9,0,10,0.6416225000139093
11,2,15,0.7127517000044463
9,0,10,0.5898370999930194
9,2,30,0.895998399995733
9,0,20,0.7556193000054918
9,0,30,0.7041237999947043
9,0,10,0.5979394999885699
9,0,5,0.3991747999971267
