Face,Direction,Eccentricity,Reaction Time (s)
17,0,5,0.7018515998497605
17,2,35,0.6887930000666529
13,2,35,0.8321207999251783
13,2,30,0.6650533000938594
13,0,30,0.6050815999042243
13,0,5,0.5093770998064429
13,0,20,0.5201528000179678
17,2,40,0.7324105999432504
15,0,15,0.7369502000510693
15,2,0,0.4537706000264734
17,0,15,0.6894934000447392
17,0,10,0.5784676999319345
15,2,15,0.604205199982971
17,0,0,0.6580759999342263
15,0,25,0.7428270999807864
13,0,40,0.9097353999968618
17,0,15,0.8020657000597566
13,0,25,0.7625293999444693
15,2,20,0.5487155001610518
15,2,0,0.7888680000323802
13,2,5,0.8713748999871314
13,0,30,0.6606993000023067
17,0,35,0.9395552999339998
17,0,5,0.6884226000402123
17,2,25,0.6912272002082318
13,0,25,0.9443226000294089
13,2,20,0.6401343999896199
15,0,30,0.872397500090301
17,2,0,0.949252099962905
17,0,35,0.6080098000820726
17,2,0,0.5687064998783171
15,0,10,0.9279408999718726
13,2,10,0.7291892999783158
17,0,30,1.0164081999100745
13,0,40,0.8873483000788838
15,0,5,0.6701817999128252
17,2,30,0.798644500086084
17,0,40,0.8342208999674767
15,0,40,0.753605900099501
15,0,30,0.8942965001333505
15,0,20,0.8079531998373568
15,2,40,0.8106764999683946
13,2,0,0.6241338001564145
13,2,15,0.8545856999699026
15,0,20,0.8463914999738336
15,2,15,0.7768728998489678
13,2,35,0.7603181998711079
15,2,5,0.6885757001582533
13,0,5,0.714271399891004
15,0,0,0.5954342000186443
15,2,15,0.7637175999116153
13,0,0,0.6952919999603182
13,2,40,0.5688769000116736
13,0,30,0.6429212999064475
17,0,25,0.7579812000039965
17,0,10,0.7392776999622583
17,0,30,0.6280117998830974
17,0,15,0.603142200037837
13,0,20,0.9297929999884218
15,2,40,0.8054743001703173
17,2,30,0.9404758000746369
15,2,30,0.7836297999601811
17,2,10,0.6178631000220776
15,0,10,0.9078330001793802
13,2,5,0.7534471999388188
15,0,5,0.7315946000162512
15,0,30,0.7683472998905927
13,2,25,0.8625871001277119
13,2,20,0.49235770013183355
15,0,0,0.43479260010644794
13,2,10,0.7395470999181271
15,0,25,0.788379899924621
13,2,20,0.752103199949488
17,2,0,0.8356240999419242
15,2,5,0.6906763000879437
17,2,40,0.8346922001801431
17,2,25,0.728732299990952
13,2,5,0.6621205001138151
15,0,15,0.7818814998026937
17,2,5,0.6535132999997586
15,2,35,0.7293464001268148
13,2,10,0.5503954999148846
17,2,15,0.7097930999007076
13,2,35,0.7373877998907119
17,2,5,0.6738980999216437
17,2,20,0.5840433000121266
15,2,40,0.9342608998995274
15,2,10,0.9582199999131262
15,0,20,0.7258967000525445
13,2,10,0.6723988999146968
15,0,10,0.7867443000432104
15,2,5,0.7378829999361187
17,2,25,0.9773057999555022
13,0,5,0.7904667002148926
13,2,15,0.586903200019151
15,0,5,0.7655142000876367
17,2,20,0.7593113000039011
13,2,5,0.7476001000031829
13,2,10,0.4396116998977959
17,2,20,0.6828030999749899
17,0,35,0.8307592000346631
15,2,15,0.9145339999813586
15,0,5,1.1100268999580294
13,0,25,0.8486296001356095
13,2,35,0.6906852000392973
17,0,40,0.9307115999981761
17,0,35,1.097873599966988
15,0,0,0.672050999943167
13,2,25,0.8314772001467645
17,2,30,0.7751743998378515
15,0,40,1.0605331999249756
17,0,35,0.7597616000566632
13,2,35,0.5910895001143217
15,2,25,0.7131852000020444
13,0,0,0.6642114000860602
17,2,10,0.7002479999791831
15,2,40,0.8462121998891234
17,2,35,0.7884871000424027
17,2,25,0.8227178999222815
15,0,10,0.837688900064677
13,0,35,0.853340300032869
15,2,0,0.6460412999149412
15,2,35,1.0336605000775307
13,2,15,0.9899659000802785
13,0,15,0.8723172000609338
15,2,15,0.9355616001412272
15,0,35,0.815514300018549
17,0,10,0.6694845999591053
17,2,30,0.75599420000799
13,0,0,0.8262889999896288
13,0,35,0.8215723000466824
17,0,10,0.614593599922955
17,0,25,0.82145019993186
13,0,0,0.6841911999508739
15,0,15,0.7738080997951329
15,0,15,0.8125167000107467
15,0,5,0.6431595999747515
13,2,40,0.8095742000732571
15,2,40,0.8597729001194239
17,0,20,0.885444600135088
13,2,40,0.8749182999599725
13,0,15,0.7168060999829322
15,2,20,0.7436295000370592
17,2,25,0.8173867999576032
17,2,10,0.7199987999629229
15,0,25,0.7784333999734372
17,0,35,0.9936325000599027
15,2,30,0.8864331999793649
15,0,25,0.8528293000999838
13,0,40,0.9201161998789757
13,0,25,0.8007588000036776
17,0,40,0.7556473999284208
15,0,20,0.8567013000138104
17,0,40,0.8214587999973446
17,2,30,0.8384118999820203
15,2,25,1.2601344999857247
17,0,30,0.954821600113064
13,2,0,0.7280486000236124
15,0,0,0.6961288000456989
15,0,20,0.92072520009242
15,0,10,0.6507298999931663
13,0,15,0.9001111001707613
17,0,0,0.758416100172326
13,0,20,0.6609039998147637
15,2,30,0.9049414999317378
17,2,35,0.8524563999380916
17,0,10,0.8596902000717819
15,2,0,0.8020951000507921
15,2,20,1.2692828001454473
17,0,30,1.1602920000441372
17,2,5,0.7028344999998808
17,0,35,0.6551976997870952
13,2,25,0.7168688999954611
13,2,20,0.6979821000713855
15,2,10,0.7986225001513958
13,0,20,0.7705436001997441
17,2,15,0.7221508000511676
15,0,40,0.8352578999474645
17,2,30,0.9900195999071002
15,2,0,0.8593465001322329
