Face,Direction,Eccentricity,Reaction Time (s)
1,0,20,0.738516200101003
1,0,10,0.5803177999332547
3,2,20,0.6222376001533121
3,2,15,0.5380702998954803
1,0,0,0.5341930999420583
3,2,35,1.2232071000616997
1,2,40,0.8755938000977039
1,2,30,0.6923354000318795
3,0,20,0.8504502000287175
1,0,35,1.141372499987483
1,2,35,0.8916876998264343
1,0,25,0.5050438998732716
1,0,30,0.6312964998651296
3,0,5,0.6451517001260072
1,2,25,0.7657083999365568
1,2,35,0.6062433999031782
1,2,5,0.4351377999410033
1,0,20,0.5781527999788523
1,2,10,0.2944350999314338
1,2,30,0.479501600144431
1,0,35,0.946312699932605
1,2,35,0.6712294002063572
1,2,25,0.4725553998723626
1,2,15,0.39370659994892776
1,0,30,0.6392928999848664
1,0,0,0.48492590012028813
3,2,20,0.7012034000363201
3,2,40,1.2882270999252796
3,2,40,0.5320969000458717
1,0,30,1.1781327000353485
1,0,10,0.437690099934116
1,0,40,0.6932230000384152
1,2,0,0.3191152000799775
1,0,5,0.3015170998405665
3,0,15,0.6210371002089232
1,0,10,1.2143889002036303
1,0,25,0.9024609001353383
3,2,5,0.6789270001463592
1,0,30,0.631927200127393
3,2,35,0.7269546999596059
3,2,20,0.707169899949804
3,0,35,0.711351600009948
3,2,30,0.6141758998855948
3,2,10,0.36601309990510345
1,0,30,0.8450170999858528
3,0,15,0.5993845001794398
3,2,35,0.4375262998510152
3,2,15,0.6959061999805272
3,2,0,0.49597970000468194
3,0,25,0.7398739999625832
3,0,20,0.46701329993084073
1,0,5,0.7126169998664409
1,2,10,0.8173823999240994
3,0,40,0.8126177999656647
3,2,40,0.7757931998930871
1,0,15,0.6364625999704003
1,0,5,0.5614724999759346
3,0,20,0.836072999984026
1,0,10,0.5131443999707699
1,2,25,0.5646946001797915
1,2,5,0.5294336001388729
3,2,30,0.6500448998995125
1,0,40,0.9490449998993427
1,0,15,0.8496050001122057
1,2,25,0.748838400002569
3,0,5,0.6268257999327034
1,2,25,0.9922094999346882
1,0,20,0.7318180999718606
1,2,30,0.7485716000664979
3,0,10,0.7528492999263108
1,0,40,1.007754199905321
1,2,5,0.6505702999420464
1,0,25,0.7507501998916268
3,2,5,0.9103804000187665
3,0,35,0.7636198000982404
1,2,0,0.658092400059104
3,0,0,0.6199707000050694
3,0,0,0.5205359000246972
1,2,0,0.5952220999170095
1,2,15,0.8263038999866694
1,2,20,0.7016448997892439
3,2,5,0.6297218999825418
1,0,5,0.689978800015524
1,2,10,0.6092946999706328
1,2,0,0.675851000007242
1,0,25,0.7452467998955399
3,2,5,0.5812031000386924
1,2,15,0.7532530999742448
3,0,0,0.632822799962014
1,2,40,1.0049878000281751
1,0,10,0.7157523999921978
3,2,15,0.7180620001163334
1,0,35,0.5989413000643253
1,0,30,0.48243300011381507
1,2,15,0.4054214998614043
1,2,15,0.6204774000216275
3,2,20,0.7397443999070674
1,2,10,0.7549139999318868
1,0,5,0.6269716001115739
1,2,15,0.48582750000059605
1,0,25,0.6357998000457883
3,2,10,0.5082598000299186
1,2,30,0.87218980002217
1,2,0,0.46719729993492365
1,0,20,0.6011348001193255
3,2,25,0.6648846000898629
3,0,25,0.8949456999544054
3,2,10,0.6317473999224603
1,2,0,0.6370673000346869
3,0,5,0.6017776001244783
3,2,5,0.8629079000093043
1,2,20,0.6682581000495702
3,0,15,1.183667000150308
1,0,35,0.8965888998936862
1,0,0,0.5862944999244064
3,2,25,0.6410032999701798
1,2,35,0.7496939999982715
1,0,35,0.6424796001520008
1,0,25,0.5812705000862479
3,0,5,0.5385800001677126
1,0,0,0.696971399942413
3,0,20,0.8193964001256973
3,0,20,0.7647869999054819
3,0,40,0.633258500136435
3,2,10,0.5324148000217974
3,0,10,0.4108879999257624
1,0,35,0.7259258998092264
3,2,35,0.6694747998844832
1,2,30,0.7080889001954347
1,2,5,0.5422543999738991
3,0,35,0.7967608999460936
1,2,25,0.613385200034827
3,0,30,0.9617957000155002
3,0,15,0.7363158001098782
3,0,20,0.5968136000446975
3,2,20,0.4846313998568803
1,0,40,0.594251099973917
1,0,15,0.46405230020172894
3,0,30,0.7325871998909861
1,0,40,0.8858159999363124
3,2,30,0.8247821999248117
3,0,25,0.976772100199014
1,0,30,0.6837499998509884
1,0,40,0.8542241000104696
3,2,20,0.6800431997980922
3,2,25,0.7304157998878509
3,2,0,0.5699862998444587
3,0,40,0.7142935998272151
3,0,40,0.7104251999408007
3,2,10,0.4674364998936653
3,2,40,0.396064099855721
1,2,40,0.770283600082621
3,2,0,0.663150800159201
1,2,35,0.662302799988538
3,0,15,0.5591430000495166
1,2,20,0.6041878000833094
1,0,15,0.7682602000422776
3,2,40,1.0257645999081433
1,0,5,0.6227039999794215
3,2,20,0.7046921998262405
3,2,40,0.6036952000577003
3,2,30,0.5921088000759482
3,2,30,0.5753953999374062
3,0,35,0.6537753001321107
1,0,10,0.704725299961865
3,2,5,0.6681866000872105
1,0,30,0.6553797998931259
3,0,25,1.0009894999675453
3,0,0,0.601574300089851
3,2,15,0.6310289001557976
3,0,10,0.3703480998519808
3,0,10,0.397999299922958
3,2,35,0.4880745999980718
3,2,0,1.0371052001137286
1,0,15,0.7806412999052554
3,0,0,0.5914082999806851
3,2,10,0.5001163000706583
1,0,0,0.5872737998142838
3,2,40,0.7239349000155926
1,2,25,0.5918511999770999
