Face,Direction,Eccentricity,Reaction Time (s)
5,2,40,0.3874791449998156
5,0,15,0.3627365510001255
5,0,35,0.3826987719994577
5,0,10,0.33939934199952404
5,0,10,0.31713669799955824
5,0,40,0.3701603460003753
5,0,20,0.32738191099997493
5,0,25,0.3365093420006815
5,2,0,0.4282738679994509
5,0,10,0.33658799299973907
5,2,15,0.4279753109994999
5,2,20,0.3066579599999386
5,2,35,0.2749565639996945
5,2,25,0.29245353399983287
5,2,0,0.32786396099982085
5,0,10,0.32884113199997955
5,0,15,0.33214178799971705
5,0,5,0.3097442600001159
5,0,40,0.2837816479996036
5,0,5,0.29918229399936536
5,2,10,0.3502165320005588
5,2,25,0.3300300490000154
5,2,35,0.3288343089998307
5,2,20,0.31530965299953095
5,0,25,0.310935599000004
5,2,5,0.3211317360000976
5,0,20,0.29736758099988947
5,0,35,0.2990197620001709
5,2,15,0.29080679300022894
5,2,0,0.2992409119997319
5,0,10,0.06376961899968592
5,2,5,0.30751333700027317
5,2,25,0.10544704599942634
5,2,5,0.32720315599999594
5,0,15,0.2867824289996861
5,0,10,0.2951856839999891
5,0,15,0.28667739600041386
5,2,35,0.3725354589996641
5,2,0,0.31594541699996626
5,0,0,0.31533389299966075
5,2,20,0.337519326999427
5,2,35,0.005357905999517243
5,2,30,0.34975007200046093
5,2,15,0.3159207089993288
5,2,30,0.33949510299953545
5,2,10,0.4144428669997069
5,0,15,0.2851563949998308
5,2,10,0.3195115230000738
5,2,0,0.5966913680003927
5,2,20,0.3167431880001459
5,2,5,0.1958886930005974
5,0,5,0.30730826499984687
5,0,0,0.31019670300065627
5,0,20,0.33811395399970934
5,0,40,0.36693023099996935
5,0,30,0.299134476999825
5,2,30,0.29299370999979146
5,0,10,0.2993631719991754
5,2,30,0.3273988010005269
5,0,20,0.2950577980000162
5,0,25,0.29625322399988363
5,2,35,0.3217118769998706
5,0,35,0.3069853349998084
5,2,10,0.3458343590000368
5,2,10,0.39349576699987665
5,2,15,0.2954791160000241
5,2,20,0.3011767600000894
5,2,25,0.32252497199988284
5,0,30,0.3620621910004047
5,0,30,0.2938088959999732
5,0,35,0.3368884040000921
5,2,0,0.4971454790002099
5,2,15,0.3357687759998953
5,0,0,0.31263982400014356
5,0,5,0.30509398600042914
5,2,40,0.3020872770002825
5,2,20,0.4696212730004845
5,2,40,0.4201049410003179
5,2,25,0.2834362109997528
5,0,35,0.31387615900075616
5,2,35,0.35605651599962584
5,0,30,0.33859768500042264
5,0,20,0.33229708499948174
5,0,35,0.2902859369996804
5,2,30,0.3132449109998561
5,0,15,0.25256949300000997
5,0,40,0.28078682599971216
5,0,40,0.33401111900002434
5,2,10,0.3096622909997677
5,2,10,0.3593535770005474
5,0,0,0.30319996700018237
5,0,15,0.2729915820000315
5,2,40,0.32953426799940644
5,0,15,0.26946535099978064
5,2,30,0.34760853900024813
5,0,25,0.3034955370003445
5,0,0,0.3062594689999969
5,0,30,0.31338477000008425
5,2,5,0.3105249760001243
5,2,0,0.28159327799949097
5,2,15,0.3385050950000732
5,2,40,0.32405115500023385
5,2,30,0.3721576500001902
5,0,10,0.09041598600015277
5,2,10,1.4253747849998035
5,2,30,0.34979511500023364
5,0,25,0.3280583650002882
5,2,20,0.33397472400065453
5,0,5,0.28585451999970246
5,0,20,0.313195483000527
5,0,25,0.35904761900019366
5,0,20,0.3234862500003146
5,2,20,0.33947135000016715
5,2,25,0.31769121599973005
5,2,10,0.36760858700017707
5,0,10,0.31437396699948295
5,0,25,0.34217664600055286
5,0,20,0.3488125610001589
5,0,40,0.39909542800069175
5,2,40,0.40440460800073197
5,2,40,0.4794152340000437
5,2,40,0.29785725500005356
5,0,5,0.3537473950000276
5,0,15,0.37513932500041847
5,0,35,0.32136771800014685
5,0,40,0.34603680099917256
5,0,10,0.3371148379992519
5,0,0,0.3321059889995013
5,0,20,0.3212999490006041
5,0,0,0.3888635000002978
5,2,30,0.42773665799995797
5,2,35,0.32634403800057044
5,0,5,0.3467866660002983
5,2,5,0.24773529400044936
5,0,0,0.055439404000026116
5,2,35,0.2576881430004505
5,0,40,0.31236885499947675
5,2,35,0.3281459529998756
5,0,25,0.2592827859998579
5,0,0,0.26472527099940635
5,0,5,0.15903957900081878
5,0,5,0.2724052829998982
5,2,5,0.2894011019998288
5,0,25,0.2073920470002122
5,2,10,0.2992228469993279
5,0,5,0.30482494100033364
5,0,40,0.19640611100021488
5,2,5,0.3432044789997235
5,0,30,0.3990509839995866
5,2,15,0.2915049410003121
5,2,15,0.32692174000021623
5,2,25,0.3678177940000751
5,2,40,0.3382481429998734
5,2,5,0.3367799509996985
5,2,20,0.33129737800027215
5,2,30,0.15791648199956398
5,2,0,0.3104499710007076
5,2,40,0.3057619290002549
5,0,25,0.330822351000279
5,0,40,0.30857881600059045
5,2,25,0.41110820099947887
5,0,30,0.33346068399987416
5,2,25,0.32521760300005553
5,2,25,0.35850537399983295
5,2,15,0.2836703820003095
5,2,5,0.3187247320001916
5,0,35,0.3409425750005539
5,0,0,0.3212905500004126
5,2,0,0.16304273500009003
5,2,35,0.30885764800041215
5,2,20,0.32288997900013783
5,0,15,0.3487749830001121
5,0,20,0.3885877430002438
5,0,35,0.3408174269998199
5,0,30,0.34236879400032194
5,0,35,0.3598372099995686
5,2,0,0.3679457009993712
5,2,15,0.2987854649991277
5,0,30,0.5650467909999861
5,0,30,0.30057810800008156
