Face,Direction,Eccentricity,Reaction Time (s)
1,2,0,0.5891589120001299
3,2,25,0.6058320809997895
1,2,35,0.6396467960003065
3,2,5,0.4916686529995786
1,2,40,0.6490770569998858
3,2,15,0.5770448970006328
1,2,35,0.6241672659998585
3,2,0,0.5772526549999384
1,2,35,0.573520298999938
1,2,5,0.4895504569994955
1,0,35,0.6740777559998605
3,0,20,0.5077688109995506
1,0,0,0.44571218799956114
1,2,20,0.40097347299979447
1,2,20,0.44957864499974676
1,0,30,0.5101419970005736
1,0,25,0.5011005110000042
1,2,30,0.45752496300065104
1,0,15,0.42953839199981303
1,0,5,0.4363368710000941
1,2,10,0.6460158580002826
3,2,25,0.5888893219998863
3,0,30,0.6986508609998054
3,2,25,0.6367075329999352
3,0,10,0.5334545369996704
3,0,15,0.5088673399995969
1,2,25,0.6295752309997624
3,0,25,0.5401832389998162
1,0,10,0.7111566249996031
1,0,15,0.6089016409996475
3,2,0,0.5650150049996228
1,2,40,0.6219861089994083
3,0,10,0.5959757880000325
3,0,5,0.5671759489996475
1,0,5,0.5550656929999604
3,0,40,0.6327888380001241
1,2,5,0.5071928159995878
1,2,15,0.595501071000399
3,0,15,0.5282355669996832
1,2,25,0.5753415810004299
1,2,30,0.6353744910002206
3,0,5,0.4659989379997569
3,2,15,0.5577957260002222
1,0,20,0.6444363629998406
3,0,25,0.5868138200003159
1,0,25,0.5325150339995162
1,2,20,0.44713475400021707
3,0,0,0.5511903309998161
1,2,10,0.46884141499958787
1,2,5,0.5128904579996743
1,0,40,0.7526066569998875
1,0,5,0.42049261500051216
1,0,15,0.45659934199920826
3,0,30,0.5398626199994396
1,0,40,0.7400001840005643
3,0,0,0.6498355690000608
1,0,30,0.5953962590001538
1,2,15,0.5732831529994655
3,2,20,0.5720567440002924
1,2,10,0.5361024829999224
1,2,35,0.5483862430000954
1,0,10,0.5202694509998764
1,0,0,0.4564261859995895
3,0,10,0.5826144530001329
1,2,20,0.4304202399998758
1,2,25,0.5523939740005517
1,2,15,0.44208522899953095
1,0,35,0.669599293999454
3,2,5,0.5714258060006614
1,0,35,0.5470721450001292
1,0,0,0.47826958100085903
1,2,40,0.5969161019993408
3,0,15,0.4464472570007274
1,2,10,0.515077955000379
1,2,25,0.41877648099944054
3,0,10,0.5401845480000702
1,0,20,0.5048582420004095
1,0,0,0.4479922659993463
1,2,5,0.49122580899984314
1,2,0,0.4332023469996784
1,0,25,0.5361599059997388
1,0,10,0.47757250699942233
1,0,0,0.42163696700026776
1,2,0,0.43294634300036705
1,0,25,0.46752571199976956
3,2,0,0.5988775300002089
3,0,35,0.7035162290003427
3,2,15,0.5450672420001865
1,2,15,0.4411824290000368
3,2,0,0.5289240490001248
1,0,30,0.60569131200009
3,2,20,0.6486645850000059
3,0,40,0.7888021500002651
1,0,20,0.5070473000005222
1,2,40,0.5523295259999941
3,2,10,0.45760730000074545
3,2,30,0.5659007590002147
3,2,40,0.6677301589998024
3,2,35,0.6253898979994119
1,2,10,0.4918293470000208
1,0,35,0.6047377699997014
1,2,0,0.5376092319993404
3,0,25,0.524678715999471
1,0,5,0.4445951600000626
1,2,10,0.4144179009999789
1,2,25,0.46847874500053877
3,2,5,0.5090235059997212
3,0,20,0.48122483199949784
3,0,25,0.4577970059999643
1,0,30,0.5911522940004943
1,0,5,0.3963191349994304
3,0,20,0.48448745099994994
3,2,0,0.49027701599970896
1,0,15,0.4282875509998121
1,0,10,0.49168000200006645
3,2,35,0.5219961909997437
3,2,15,0.5412532830005148
1,0,15,0.5167939949997162
1,2,40,0.5307019470001251
1,2,40,0.5930603429997063
3,2,20,0.4753957670000091
3,2,5,0.5192389930007266
1,2,40,0.5898590580000018
3,0,20,0.43162221500006126
3,0,5,0.46631313799935015
1,2,30,0.605115448000106
3,2,35,0.5295742999996946
1,2,10,0.4516835019994687
1,2,25,0.44607021200044983
3,2,30,0.5309009100001276
1,0,0,0.5178192000003037
1,2,20,0.4672031899999638
3,2,10,0.49149650799972733
1,2,5,0.45942080700024235
1,0,40,0.5696781169999667
3,0,0,0.5998058289997061
3,0,15,0.544132635999631
1,0,40,0.562418114999673
1,0,20,0.4762739640000291
1,0,5,0.45079489199997624
1,2,30,0.6416027899995242
3,0,20,0.5238932539996313
3,0,25,0.5310104290001618
1,2,40,0.5237014169997565
3,0,15,0.4585358289996293
3,2,30,0.4824248519998946
1,0,10,0.47497789399949397
1,0,20,0.5343681819995254
1,2,5,0.5651804709996213
3,0,35,0.5569334279998657
1,2,20,0.5750322250005411
1,2,25,0.5004317039993111
1,0,30,0.6031134880004174
3,0,40,0.5040509030004614
1,2,10,0.4942147629999454
3,0,35,0.4903888789995108
3,0,35,0.48891207599990594
1,2,15,0.4105968519997987
3,2,30,0.5633312020008816
3,2,20,0.5290889339994465
3,2,35,0.6225743029999649
1,2,40,0.5327600499995242
3,0,40,0.49205564499970933
1,0,10,0.5167310240003644
3,0,35,0.5357852530005403
3,2,30,0.5263792679998005
1,0,40,0.6006683239993436
3,2,35,0.5301440539997202
3,0,0,0.5271321439995518
3,2,35,0.7179216149997956
3,2,30,0.5510816559999512
1,0,40,0.5576873879999766
3,0,5,0.5964397990001089
3,2,15,0.5278452140000809
3,2,0,0.5511627739997493
1,0,30,0.5960468210005274
3,0,30,0.5960479829991527
3,0,35,0.6313093439994191
1,0,25,0.5931157019995226
1,0,30,0.5975351749993933
