Face,Direction,Eccentricity,Reaction Time (s)
9,2,0,0.532407663999038
9,0,10,0.49984397899970645
11,0,5,0.6362599000003684
9,2,10,0.7762701169995125
9,0,15,0.5215668320015538
9,2,25,0.5962692539997079
9,0,35,0.5629077719986526
9,2,40,0.5993413799988048
11,2,25,0.632722869000645
9,2,25,0.6080864199993812
11,0,0,0.5705382520009152
11,2,25,0.6570690240005206
11,0,5,0.581861132000995
9,0,25,0.5956594079998467
11,0,15,0.6333346810006333
11,2,35,0.686847189999753
11,2,5,0.5146307809991413
9,0,30,0.5698489299993525
11,2,20,0.5899561509995692
11,2,5,0.6049842370011902
11,2,25,0.5779945730009786
9,2,30,0.6572277220002434
9,2,15,0.7035387979994994
9,2,30,0.6896904650002398
11,0,10,0.7213835960010329
11,0,20,0.8581697059998987
9,2,15,0.5397523470001033
9,0,35,0.6238461470002221
11,0,5,0.49623954400158254
9,2,40,0.5888368460000493
11,0,20,0.5993316690000938
9,2,40,0.5585407049984497
11,0,10,0.5836251269993227
11,0,25,0.6053578680002829
11,0,5,0.47360795700114977
11,0,30,0.6161820010001975
9,0,25,0.5859207880002941
9,0,20,0.5668068300001323
9,0,20,0.5932374049989448
9,2,30,0.6135090160005348
9,2,20,0.5211968759995216
9,2,20,0.4785475899989251
9,2,40,0.581785560998469
11,0,0,0.47461395199934486
11,0,0,0.5289354999986244
9,0,25,0.6329555499996786
11,2,30,0.567329936000533
9,0,30,0.4949312170010671
9,0,15,0.5912971470006596
11,2,10,0.6310300629993435
11,2,30,0.6000453409997135
9,0,40,0.553693182000643
11,2,0,0.5457194530008564
9,2,10,0.5653609410001081
9,0,35,0.677214883000488
9,0,40,0.6551381690005655
11,0,25,0.6873728669997945
9,2,10,0.7147396689997549
11,2,35,0.6892137859995273
9,2,0,0.6199922930009052
9,0,10,0.5495638710017374
9,0,20,0.5819042599996465
11,2,35,0.6143648590004887
11,0,40,0.6682986750001874
9,2,25,0.5868258819991752
9,0,30,0.5484943909996218
11,2,20,0.5658274760007771
9,2,35,0.6627069790010864
11,0,40,0.605617966999489
11,0,25,0.6698964039987914
11,0,35,0.6394564459988032
9,2,10,0.598681146000672
11,0,35,0.663462349000838
9,2,10,0.5306225090007501
9,2,30,0.6801052129994787
11,2,40,0.8460285189994465
11,0,25,0.5761504649999551
9,0,30,0.6215929360005248
11,2,15,0.6266193560004467
11,0,10,0.733671341000445
9,0,5,0.6462384879996534
11,2,35,0.5768705170012254
9,2,25,0.6018384589988273
11,2,30,0.565550779001569
11,2,10,0.5580148099998041
9,2,15,0.6561521830008132
9,2,15,0.6512712029998511
9,2,5,0.5597847080007341
11,2,40,0.6397769319992221
11,0,5,0.5879394020012114
9,2,0,0.5202917310016346
9,0,0,0.4960442560004594
11,0,30,0.5579815080000117
9,0,40,0.6736361570001463
11,0,20,0.4882993399987754
9,2,5,0.5815844570006448
11,2,5,0.5152718929984985
11,0,15,0.5549550279993127
11,2,20,0.5540250150006614
9,0,15,0.55699218799964
9,0,0,0.5425368919986795
11,2,20,0.5676976869999635
9,2,15,0.6214676940016943
11,2,20,0.6065677309998136
11,2,0,0.6943712379998033
11,0,40,0.6981627479999588
9,2,20,0.5846380200000567
9,2,35,0.5986326679994818
9,0,15,0.559755860000223
9,2,35,0.5829953299999033
9,0,35,0.6130643180003972
9,0,0,0.4667272650003724
11,2,40,0.5896516559987504
11,2,10,0.4502480770006514
11,0,10,0.4339047249995929
11,2,0,0.4279754649996903
9,0,20,0.5593454570007452
11,0,40,0.5606204370014893
11,0,10,0.41903972400177736
11,2,35,0.4748918789991876
11,0,10,0.501359116000458
9,0,5,0.45774377700035984
11,2,10,0.5449195640012476
9,0,5,0.43296429199835984
9,2,5,0.5051783549988613
11,2,5,0.5196398989992304
11,2,0,0.4002085720003379
11,0,5,0.42862728699947183
9,2,15,0.5538793280011305
11,0,30,0.5388491040012013
11,2,15,0.5332812590004323
9,2,35,0.5629927540012432
9,0,35,0.5595533219984645
11,0,30,0.6185908749994269
11,0,15,0.6326883519996045
11,0,25,0.621301573000892
9,2,20,0.5742504429999826
11,0,35,0.5841847880001296
9,2,10,0.5140101619999768
11,0,25,0.5160014419998333
9,2,0,0.4684216839996225
11,0,15,0.644628060001196
11,2,30,0.5885135779990378
9,2,25,0.6062604670005385
9,2,0,0.5569673079990025
11,2,30,0.564105223000297
9,2,5,0.5084437250006886
11,2,35,0.568804619999355
11,0,35,0.7068154729986418
11,0,25,0.5945977170013066
9,0,40,0.5705438019995199
9,0,15,0.5939015460007795
9,0,0,0.4708778969998093
11,0,5,0.479210535000675
9,0,0,0.5643284649995621
11,0,10,0.5249116009999852
11,2,15,0.4951082410007075
9,0,30,0.5573061989998678
11,0,20,0.5249426469999889
9,0,15,0.5723085679983342
9,0,0,0.5078610259988636
9,0,30,0.617232585000238
11,0,20,0.5251109799992264
11,2,20,0.4713458869991882
11,2,0,0.49853023900141125
11,0,40,0.6018278299998201
9,2,40,0.7030567880010494
11,0,10,0.7019482739997329
11,0,35,0.446363521999956
9,0,40,0.5870228570001927
11,0,20,0.5074366990011185
11,2,40,0.631976131000556
9,2,5,0.7251921249990119
9,0,0,0.4733894679993682
11,2,30,0.608544475000599
9,2,40,0.6987560429988662
11,2,15,0.5251858020001237
9,2,25,0.5231174689997715
9,2,5,0.5333908759985206
9,2,25,0.5368404340006236
