Face,Direction,Eccentricity,Reaction Time (s)
7,2,25,0.24362189997918904
7,2,40,0.24225080001633614
7,2,0,0.22283569996943697
7,2,20,0.22404569998616353
7,2,15,0.17402700003003702
7,2,25,0.17882660002214834
7,2,15,0.18404569994891062
7,2,0,0.19668649998493493
7,2,10,0.15761950000887737
7,2,40,0.23066719999769703
7,2,5,0.22651469998527318
7,2,30,0.20475239999359474
7,2,35,0.21357740001985803
7,2,10,0.12773140001809224
7,2,35,0.2269613000098616
7,2,35,0.20669329998781905
7,2,40,0.09437659999821335
7,2,15,0.2069609999889508
7,2,15,0.21657550003146753
7,2,35,0.22600650001550093
7,2,20,0.16900100000202656
7,2,20,0.2333301999606192
7,2,30,0.2160334000363946
7,2,35,0.2073818000499159
7,2,5,0.22678219998488203
7,2,15,0.16658530000131577
7,2,35,0.2333249999792315
7,2,15,0.21077330003026873
7,2,35,0.26076100004138425
7,2,20,0.07958860002690926
7,2,25,0.23192270001163706
7,2,20,0.20497570000588894
7,2,40,0.21285049995640293
7,2,25,0.22552150004776195
7,2,40,0.26108570001088083
7,2,25,0.23846469999989495
7,2,5,0.23726959998020902
7,2,15,0.21174569998402148
7,2,0,0.19769129995256662
7,2,0,0.34151830000337213
7,2,35,0.25084310001693666
7,2,10,0.20165800000540912
7,2,10,0.2372652000049129
7,2,30,0.2208964999881573
7,2,0,0.2640892000054009
7,2,25,0.21327950002159923
7,2,30,0.16944499994860962
7,2,5,0.21475959999952465
7,2,25,0.2105819999706
7,2,30,0.22858759999508038
7,2,25,0.22631559998262674
7,2,15,0.21721710002748296
7,2,10,0.22117470001103356
7,2,0,0.2165798000060022
7,2,30,0.21968680003192276
7,2,25,0.20902270002989098
7,2,15,0.008512699976563454
7,2,10,0.1738478999468498
7,2,10,0.2002832000143826
7,2,30,0.14935889997286722
7,2,5,0.19232460000785068
7,2,40,0.21056390000740066
7,2,20,0.6933597000315785
7,2,5,0.2307382000144571
7,2,0,0.2004628999857232
7,2,5,0.1994393999921158
7,2,10,0.15063129999907687
7,2,0,0.19298130000242963
7,2,20,0.16563619999215007
7,2,0,0.23590339999645948
7,2,35,0.22363850002875552
7,2,40,0.18657300004269928
7,2,20,0.15011310001136735
7,2,35,0.22966340003767982
7,2,40,0.2552797000389546
7,2,40,0.2759869999717921
7,2,30,0.2484225999796763
7,2,30,0.18060869997134432
7,2,20,0.2060211999923922
7,2,25,0.2090193000040017
7,2,10,0.19751129997894168
7,2,5,0.19333550002193078
7,2,0,0.17041389999212697
7,2,5,0.19049680000171065
7,2,20,0.2254518999834545
7,2,40,0.09236930002225563
7,2,15,0.1858364999643527
7,2,10,0.21141659998102114
7,2,5,0.18350749998353422
7,2,30,0.0425190000096336
7,0,40,0.30080079997424036
7,0,35,0.2050547000253573
7,0,0,0.2261477000429295
7,0,15,0.21579450002172962
7,0,10,0.2326314000529237
7,0,15,0.20534950000001118
7,0,10,0.2211591000086628
7,0,25,0.18254319997504354
7,0,40,0.19298880000133067
7,0,20,0.21452949999365956
7,0,25,0.22619790001772344
7,0,0,0.19212750002043322
7,0,30,0.2348459000349976
7,0,20,0.18412589997751638
7,0,0,0.20925339998211712
7,0,30,0.2297285000095144
7,0,15,0.2251457999809645
7,0,35,0.22321610001381487
7,0,5,0.23156809998909011
7,0,20,0.20985789998667315
7,0,20,0.25230170000577345
7,0,40,0.2605906000244431
7,0,5,0.23574979999102652
7,0,20,0.08130809996509925
7,0,5,0.23608310002600774
7,0,0,0.2524240000057034
7,0,40,0.25543860002653673
7,0,30,0.2525568000273779
7,0,40,0.22805669996887445
7,0,25,0.2135334000340663
7,0,35,0.2427814999828115
7,0,40,0.24752539995824918
7,0,5,0.2267355999792926
7,0,10,0.22682919999351725
7,0,10,0.21647630003280938
7,0,0,0.25504620000720024
7,0,15,0.22640189999947324
7,0,10,0.2337526999763213
7,0,10,0.23849600000539795
7,0,5,0.25203249999321997
7,0,35,0.19774160004453734
7,0,30,0.23108090000459924
7,0,10,0.24888740002643317
7,0,5,0.22235110000474378
7,0,35,0.24624670000048354
7,0,35,0.2279753999901004
7,0,0,0.23273749998770654
7,0,15,0.20745799998985603
7,0,30,0.1796254000510089
7,0,15,0.23825640004361048
7,0,40,0.22795930004213005
7,0,20,0.25529800000367686
7,0,5,0.22347079997416586
7,0,0,0.2567521000164561
7,0,10,0.19387090002419427
7,0,40,0.2516027000383474
7,0,10,0.19524059997638687
7,0,40,0.26710260001709685
7,0,20,0.21514389995718375
7,0,25,0.21787719998974353
7,0,20,0.21046269999351352
7,0,25,0.23742510000010952
7,0,25,0.2274207000155002
7,0,30,0.24383279995527118
7,0,0,0.3744328999891877
7,0,25,0.21235640003578737
7,0,0,0.25214120000600815
7,0,20,0.2102755000232719
7,0,30,0.23079080000752583
7,0,35,0.21572129998821765
7,0,30,0.20080140000209212
7,0,35,0.2338101000059396
7,0,5,0.22511279996251687
7,0,15,0.2388063999824226
7,0,25,0.20638699998380616
7,0,40,0.18788049998693168
7,0,30,0.19949289999203756
7,0,20,0.1926443999982439
7,0,25,0.15284049999900162
7,0,0,0.21031609998317435
7,0,15,0.19558230001712218
7,0,35,0.21773080003913492
7,0,15,0.17970209999475628
7,0,25,0.2171663999906741
7,0,15,0.23394530004588887
7,0,5,0.2392081000143662
7,0,35,0.26664899999741465
7,0,30,0.2675098999752663
7,0,5,0.24397050001425669
7,0,10,0.2089034999953583
