Face,Direction,Eccentricity,Reaction Time (s)
17,0,10,0.7923805000027642
15,0,15,0.9486032999702729
17,2,25,1.6223093000007793
15,0,40,1.207852500025183
15,0,25,1.1521834000013769
13,2,35,1.0968823000439443
13,0,5,0.6776939000119455
13,0,35,1.1846164999878965
15,2,0,0.819837799994275
15,0,20,0.8298549000173807
17,2,0,0.700059800001327
13,0,0,0.6603316999971867
13,2,10,0.7997256999951787
15,2,20,0.7062672000029124
15,0,30,0.7628274000016972
17,0,15,0.783974899968598
13,2,5,0.6347003999981098
17,0,25,0.6578899000305682
15,0,35,0.9607329999562353
15,0,5,0.7776982000214048
13,2,15,0.7133608000003733
15,0,20,0.8627408999600448
13,0,10,0.7343576999846846
13,2,5,0.6276868000277318
17,2,35,1.276634500012733
17,0,30,0.8517304999986663
17,0,40,0.861957999994047
15,0,30,0.8871059000375681
15,2,25,0.9942985000088811
15,0,15,0.9397463000495918
15,2,35,0.756030999997165
13,0,30,1.076273900049273
15,2,10,0.7409298000275157
15,2,20,0.6613246999913827
15,2,25,0.6064948000130244
13,2,0,0.5526549000060186
13,0,20,1.025662200001534
17,2,0,0.7141582000185736
13,2,15,0.7102444999618456
17,0,40,0.799946999992244
15,0,20,1.0647623999975622
17,2,0,0.6400409999769181
17,2,0,0.47217909997561947
17,2,0,0.42443279997678474
17,2,20,0.6077131999772973
15,2,30,0.6153112999745645
13,2,30,0.8345248000114225
17,0,10,0.6837498000240885
13,2,10,0.7110846000141464
13,0,5,0.6050310999853536
13,2,35,0.8002715000184253
13,2,15,1.0544617000268772
17,0,30,1.060280900041107
13,0,5,0.6429535000352189
17,0,15,0.7534190000151284
15,0,25,1.0243523999815807
17,0,20,0.7244471999583766
15,0,15,0.8005689000128768
13,2,0,0.5484306999715045
13,0,0,0.6379934000433423
17,0,10,0.7009977999841794
17,0,0,0.6805792999803089
13,0,5,0.80423750000773
17,0,10,0.6471683999989182
15,0,0,0.6116962999803945
13,0,5,0.676015900040511
17,0,5,0.7671340000233613
13,0,5,0.7068445999757387
17,2,35,1.247157200006768
15,2,20,0.7845192000386305
17,2,30,1.1839689000044018
15,0,35,1.2308809999958612
17,0,35,0.8505136000458151
15,0,10,0.8279460000339895
13,0,0,0.6339674000046216
17,2,10,0.5977730000158772
15,2,15,0.9042768999934196
17,2,35,0.9023680999525823
13,0,10,0.899226900015492
17,0,0,0.6927963999914937
17,0,40,0.7306826999993064
15,0,5,0.605386900017038
17,2,40,0.8502611999865621
17,2,5,0.6673487999942154
15,2,15,0.6097816999536008
17,2,40,0.7605375000275671
13,0,15,0.8710787000018172
15,2,5,0.6763935000053607
17,0,10,0.6762147999834269
17,2,25,0.7744843999971636
15,2,10,0.6259164000512101
17,0,25,0.6535830000066198
15,2,20,0.6968849999830127
17,2,5,0.6612242999835871
15,2,15,0.5620102999964729
15,0,10,0.5511127999634482
17,2,25,0.6823433999670669
15,0,25,0.7234358999994583
15,2,30,0.6555065999855287
17,0,40,0.849967000016477
17,0,15,0.877983900019899
13,0,20,1.0299354000017047
15,0,25,0.9795304000144824
17,2,15,0.8952720999950543
17,0,35,1.0369878999772482
13,0,30,0.9838317999965511
13,2,40,0.9185347000020556
13,0,20,0.6806504999985918
13,0,10,0.6602412000065669
17,2,10,0.7585621000034735
17,0,35,0.8153706999728456
17,0,40,0.7798530000145547
17,2,15,0.8871211999794468
15,2,40,1.1993067999719642
13,0,0,0.5180121999583207
17,2,25,0.6639959000167437
13,0,40,0.5859378000022843
15,0,0,0.6971434999722987
15,0,0,0.6835000999853946
13,0,25,0.9494619999895804
13,2,25,0.8066594999982044
17,0,15,0.6685888000065461
15,2,10,0.6057680000085384
17,2,20,0.7737508999998681
15,0,0,0.6421280999784358
17,2,5,0.5130435999599285
13,0,15,0.6445101000135764
15,0,15,0.6556976999854669
17,2,5,0.6556263999664225
15,2,10,0.5983517999993637
15,2,10,0.887140900013037
15,0,25,0.655328200024087
15,2,20,0.7649611000088044
15,2,30,0.604325299966149
15,0,20,0.6987031000317074
15,2,5,0.5326146999723278
13,0,5,0.5951411999994889
13,2,40,0.8656346999923699
13,2,15,0.6515259000007063
13,2,5,0.48279889998957515
17,2,30,0.9477714999811724
13,0,20,0.845469200052321
17,0,30,1.0348185999901034
15,0,30,1.0715107999858446
15,2,35,1.0525960000231862
13,2,5,0.5745930999983102
15,2,0,0.6271650000126101
13,0,25,0.7599989000009373
13,0,35,1.4125922999810427
13,0,30,0.7761047999956645
13,2,20,1.0198202999890782
13,2,35,1.1461418999824673
13,0,20,0.8952329999883659
15,0,30,1.1546587999910116
17,2,0,0.6629043000284582
15,0,40,0.7603770000278018
15,2,10,0.6357122999615967
17,0,25,0.7543687000288628
13,2,30,0.963598899950739
17,2,20,0.7706517999758944
13,2,25,0.8681667000055313
13,2,35,0.7355048000463285
15,2,40,0.6644102000282146
15,2,40,0.8760817999718711
17,2,35,0.8790254999767058
15,2,40,0.6642305999994278
17,2,30,0.7528554000309668
17,2,20,0.6798380999825895
17,2,15,0.6789385000010952
17,2,30,0.7335223999689333
15,0,35,0.9286664000246674
13,2,25,0.6815800999756902
13,2,30,0.7171598999993876
15,0,35,0.8350369000108913
13,0,35,0.655304099956993
15,2,40,0.7318093999638222
15,2,25,0.9820832000114024
15,2,40,0.8247199000325054
13,0,40,0.8990662000142038
15,0,40,1.0971719000372104
