Face,Direction,Eccentricity,Reaction Time (s)
1,2,20,0.6449210999999195
1,2,40,0.6152046999777667
1,2,30,0.5749250999651849
3,2,15,0.5736314000096172
3,2,25,0.8924085000180639
1,2,0,0.43327419995330274
3,2,20,0.6831131000071764
1,2,25,0.7829868000117131
3,2,15,0.675510499975644
1,2,25,0.8441902999766171
3,2,5,0.5606377000221983
3,2,35,0.6273992999922484
3,2,0,0.49869529996067286
1,2,5,0.731415200047195
1,2,0,0.45539800002006814
1,2,5,0.5787341999821365
1,2,5,0.626320899988059
1,2,5,0.4409593000309542
3,2,15,1.060676000022795
1,2,10,0.6215286999940872
1,2,20,0.7549671999877319
1,2,30,1.2332931999699213
1,2,15,0.7150124000036158
1,2,30,0.8101445999927819
1,2,15,0.7274930000421591
1,2,10,0.5891777999931946
3,2,30,1.2793532999930903
1,2,15,0.7962938999990001
1,2,0,0.531547499995213
3,2,25,0.8338340999907814
3,2,15,0.6406391999917105
3,2,15,0.5114175999769941
1,2,10,0.553800499998033
3,2,30,0.5316333000082523
3,2,30,0.5102130000013858
3,2,0,0.5561421000165865
3,2,10,0.3956950000138022
3,2,30,0.4552644999930635
3,2,5,0.4735651999944821
3,2,10,0.4621095000184141
3,2,20,0.6124358000233769
1,2,30,0.5574310999945737
1,2,25,0.5822127999854274
1,2,0,0.4669372999924235
3,2,30,0.394631200004369
3,2,20,0.5142485999967903
1,2,5,0.46784160000970587
1,2,0,0.44260559999383986
1,2,10,0.5105403999914415
1,2,25,0.5462762999814004
3,2,0,0.5500683000427671
3,2,5,0.4409411999513395
3,2,5,0.3979302999796346
1,2,10,0.5177889000042342
1,2,10,0.5261829000082798
1,2,0,0.4697246000287123
3,2,35,0.7539736999897286
3,2,20,0.48575110000092536
3,2,30,0.6075098000001162
3,2,35,0.8424266999936663
3,2,25,0.5957179000251926
3,2,15,0.5387998999794945
1,2,25,0.7222881999914534
1,2,10,0.6492836999823339
3,2,35,0.6529804999590851
1,2,20,0.5288048000074923
1,2,40,0.5668752999627031
1,2,40,0.5227532999706455
1,2,0,0.38523100002203137
1,2,10,0.4493248999933712
3,2,20,0.5458741000038572
3,2,25,0.6074956000084057
1,2,20,0.5990479000029154
1,2,20,0.5119980000308715
3,2,5,0.4208030999870971
3,2,35,0.5626826999941841
3,2,35,0.5593705999781378
3,2,35,0.5731189000071026
3,2,40,1.0637780000106432
3,2,35,0.6337632000213489
3,2,40,0.6780372000066563
3,2,35,0.5122560000163503
1,2,15,0.755535600008443
1,2,25,0.7529975000070408
3,2,40,0.5733307999907993
3,2,35,0.6808411999954842
1,2,40,1.057117099990137
3,2,40,0.9056934000109322
1,2,40,0.914189399976749
1,2,40,0.554010699968785
1,0,20,0.6785310999839567
3,0,10,0.5442668000468984
1,0,20,0.837136999994982
3,0,25,0.7337016999954358
1,0,15,0.722197099996265
3,0,15,0.49151820002589375
3,0,0,0.5216565000009723
1,0,20,0.7439528999966569
3,0,40,0.7934611000237055
1,0,5,0.5898710999754258
1,0,25,0.628541799960658
1,0,40,0.7931731999851763
3,0,20,0.5861104999785312
3,0,30,0.7995344999944791
3,0,5,0.6116696000099182
1,0,10,0.5478470000089146
3,0,10,0.5278508000192232
3,0,10,0.4557708000065759
1,0,35,0.6509122999850661
3,0,30,0.5848794000339694
1,0,5,0.46842910000123084
3,0,25,0.5449913000338711
1,0,25,0.8094635000452399
3,0,35,0.7741487000021152
3,0,20,0.5424836999736726
1,0,15,0.6933687999844551
1,0,30,0.8454319999436848
1,0,5,0.5810510999872349
1,0,30,0.78121009998722
3,0,0,0.5412143999710679
1,0,20,0.6310842999955639
3,0,0,0.6213775999494828
1,0,0,0.5461567000020295
3,0,25,0.7058083000010811
3,0,5,0.5095358000253327
3,0,5,0.4754578999709338
1,0,0,0.5238594000111334
1,0,15,0.7711947000352666
3,0,10,0.5514606999931857
1,0,10,0.6511014999705367
1,0,5,0.5786177999689244
3,0,0,0.4831929999636486
1,0,15,0.6256830000202172
1,0,5,0.5196413999656215
1,0,25,0.6810317999916151
3,0,30,0.757671500032302
1,0,15,0.7219533000024967
3,0,30,0.6231333999894559
3,0,10,0.5017920999671333
3,0,20,0.5335348999942653
1,0,15,0.5734947000164539
3,0,30,0.5253722000052221
3,0,20,0.676108599989675
3,0,35,0.7171859000227414
3,0,25,0.5532782000373118
3,0,40,0.6528455999796279
3,0,30,0.5257053000386804
3,0,0,0.5104660000069998
3,0,15,0.5332737000426278
3,0,5,0.45560059999115765
1,0,10,0.5838640999863856
1,0,15,0.6270584000158124
1,0,5,0.5788441000040621
1,0,10,0.4662880999967456
3,0,20,0.5689241000218317
3,0,35,0.9227729000267573
1,0,20,0.6399721999769099
3,0,40,0.7769243000075221
1,0,0,0.48636330000590533
1,0,0,0.5070136999711394
1,0,25,0.5877198000089265
3,0,15,0.5148046999820508
3,0,35,0.5403123000287451
1,0,35,0.725761599955149
1,0,0,0.5047858999460004
3,0,10,0.6018400000175461
1,0,25,0.54675270000007
1,0,35,1.034016599995084
1,0,30,0.8111288999789394
3,0,40,0.6185071999789216
1,0,35,1.034311399969738
1,0,40,0.7127443000208586
1,0,30,0.7473196999635547
1,0,40,0.7227742000250146
1,0,25,0.7677732000011019
1,0,40,0.6918213000171818
1,0,35,0.6508059999905527
3,0,40,0.8671498999465257
1,0,35,1.1627017999999225
1,0,40,0.7407644999912009
