Face,Direction,Eccentricity,Reaction Time (s)
15,2,30,0.5734622771851718
17,2,10,0.8572095308918506
15,2,25,1.3464194301050156
15,2,15,1.2867467680480331
13,2,10,1.0109061759430915
15,2,20,0.8098894469439983
13,2,30,0.7985719169955701
13,2,35,1.0807000540662557
17,2,20,1.5847376540768892
13,2,40,0.9276361460797489
13,2,20,1.5150763250421733
15,2,40,1.6661510821431875
15,2,40,1.473439539084211
17,2,25,0.88755845092237
13,2,25,0.7945573409087956
13,2,20,1.0925498669967055
13,2,0,0.6289242641068995
13,2,5,0.6014201329089701
13,2,15,0.8221667320467532
15,2,20,0.6370192100293934
15,2,10,0.6547032450325787
17,2,20,1.0746309249661863
17,2,10,0.9773000320419669
13,2,30,1.368846392026171
15,2,0,0.5263832029886544
15,2,5,0.5886317209806293
17,2,10,0.7192119699902833
13,2,5,0.8473767437972128
13,2,30,1.1747792318928987
17,2,10,0.7144326420966536
15,2,0,0.8674018939491361
13,2,15,0.7295173429884017
13,2,10,0.7208240430336446
17,2,40,1.1367912429850549
15,2,15,0.9465128099545836
17,2,20,0.9244454479776323
13,2,0,0.47893367800861597
17,2,40,1.4827504369895905
13,2,35,1.7625550229568034
17,2,5,0.7940374491736293
17,2,5,0.5085906169842929
15,2,30,0.9998638809192926
13,2,0,0.5718852980062366
17,2,5,0.5378372890409082
13,2,0,0.5656059391330928
17,2,5,0.6461112410761416
13,2,30,1.084102510008961
15,2,25,1.1535624552052468
15,2,25,1.6494513461366296
17,2,10,0.6760670628864318
15,2,5,0.545863842125982
17,2,35,1.3608206259086728
13,2,0,0.7892691949382424
17,2,35,0.9745297951158136
15,2,0,0.6086261109448969
13,2,35,1.8267005009111017
17,2,0,0.6875601541250944
17,2,5,0.5998414859641343
15,2,20,1.4552581100724638
17,2,15,0.7545230938121676
17,2,20,1.1361183021217585
17,2,10,0.7293484050314873
13,2,10,0.8796691908501089
17,2,15,0.8283054048661143
13,2,25,0.8252012068405747
13,2,0,0.5543441569898278
15,2,40,1.3829083929304034
17,2,25,0.7934281670022756
15,2,15,0.690919506829232
15,2,30,1.0087262520100921
13,2,15,0.7032099538482726
17,2,25,1.4146564430557191
15,2,40,1.5383392381481826
13,2,30,1.430115634109825
15,2,15,0.8116057689767331
17,2,35,0.9731223681010306
15,2,35,1.1448510149493814
17,2,15,0.6843438260257244
15,2,35,1.7440153891220689
17,2,25,0.8282740770373493
15,2,20,0.8907674620859325
17,2,5,0.7779826237820089
13,2,25,1.029065001057461
15,2,30,1.1353098759427667
17,2,30,0.8205036609433591
15,2,35,1.4080731100402772
15,2,40,1.0481958568561822
15,2,40,1.3803000308107585
15,2,40,1.213646227028221
17,2,35,1.0615354790352285
13,0,5,0.4075693788472563
13,0,15,0.771597539074719
17,0,35,1.2129951571114361
13,0,0,0.47312500793486834
15,0,5,0.5789537059608847
17,0,25,0.8412989859934896
17,0,25,0.8709834001492709
17,0,25,1.174367954954505
15,0,5,0.6183499698527157
15,0,30,1.315674050943926
17,0,5,0.5359505519736558
17,0,35,1.1165049758274108
17,0,20,1.3155009099282324
13,0,0,0.5710754559841007
17,0,10,0.6060086789075285
15,0,10,0.7207215330563486
17,0,30,0.910853462992236
17,0,30,1.462126214057207
17,0,35,0.7899430932011455
17,0,15,0.6274001400452107
13,0,15,1.294663910055533
13,0,10,0.6757935020141304
13,0,10,0.6119207951705903
15,0,15,1.0271415009628981
15,0,5,0.6623232329729944
13,0,20,0.8423778500873595
13,0,15,0.6326155299320817
17,0,0,0.7777467051055282
13,0,25,0.7676723289769143
17,0,35,1.2434593450743705
13,0,15,0.7005181619897485
13,0,30,1.3120085480622947
13,0,35,1.5218121719080955
13,0,30,0.8391369099263102
15,0,25,1.0814101011492312
13,0,30,1.5899551550392061
15,0,20,0.7682127759326249
13,0,15,0.7208004088606685
15,0,15,0.60055868816562
15,0,10,0.7280400549061596
13,0,20,1.2927270231302828
15,0,10,0.4959520259872079
15,0,0,0.6001633000560105
13,0,40,0.9441761849448085
15,0,5,0.5557765939738601
17,0,35,0.7871069458778948
15,0,10,0.7916236270684749
15,0,20,0.6098863119259477
17,0,10,0.6521405060775578
17,0,10,0.6289098849520087
17,0,40,1.1720979930832982
17,0,0,0.6787618901580572
13,0,40,0.9775657309219241
13,0,0,0.5905319170560688
13,0,0,0.4600959839299321
13,0,30,1.6835805119480938
17,0,20,0.7975921491160989
15,0,10,0.6661976189352572
17,0,0,0.6413248048629612
17,0,25,1.0800289690960199
13,0,25,0.7511141621507704
13,0,5,0.5845766570419073
13,0,0,0.4880583349149674
17,0,20,0.7416564479935914
13,0,25,0.8524385809432715
15,0,20,0.634513049852103
17,0,30,1.1130240929778665
13,0,20,0.8119429009966552
15,0,15,0.5718987979926169
17,0,0,0.5576338469982147
15,0,5,0.5658982540480793
15,0,25,0.7864689391572028
13,0,40,1.2039256619755179
15,0,40,1.473064187914133
13,0,20,0.795925976941362
17,0,40,1.000196484150365
17,0,35,1.3776629690546542
15,0,25,0.6067876818124205
13,0,35,0.8254410680383444
17,0,15,0.8847787510603666
13,0,40,1.4682871149852872
17,0,5,0.798401643987745
13,0,5,0.5637641889043152
13,0,30,0.8030206519179046
13,0,30,0.9512830798048526
15,0,35,1.144512175116688
13,0,40,1.4237677899654955
15,0,35,0.939738635905087
15,0,40,0.9070743031334132
15,0,40,0.9975856400560588
