Face,Direction,Eccentricity,Reaction Time (s)
11,2,40,0.8650588779710233
9,2,40,0.7206071759574115
11,2,40,0.8240159689448774
9,2,0,0.6403227779082954
11,2,35,0.7237678971141577
9,2,15,0.6370440640021116
9,2,30,0.7244713578838855
11,2,0,0.5959615909960121
9,2,15,0.8272465649060905
9,2,25,0.699602291919291
9,2,20,1.299975133035332
11,2,5,0.7074241668451577
9,2,15,0.846268726978451
11,2,40,1.2411993348505348
11,2,30,1.392496109008789
11,2,35,0.6332561660092324
9,2,0,0.5585301211103797
9,2,10,0.6865659030154347
11,2,30,0.7365618590265512
9,2,5,0.7377987389918417
9,2,0,0.640920520061627
11,2,0,0.5345636860001832
9,2,0,0.9087453822139651
9,2,10,0.728285119868815
11,2,5,0.5073325319681317
11,2,25,0.6266185620333999
11,2,10,0.5755851571448147
11,2,25,1.0327789799775928
9,2,5,0.5602234348189086
11,2,40,0.7893166861031204
9,2,20,0.6417563620489091
11,2,30,0.5925748769659549
11,2,5,0.6602873208466917
11,2,15,0.7092972688842565
9,2,40,1.1708108040038496
9,2,5,0.5750013401266187
9,2,40,1.0517841009423137
11,2,35,1.0138626049738377
9,2,35,0.7313388721086085
9,2,10,0.704461915185675
9,2,0,0.6175517730880529
9,2,35,0.6040491019375622
9,2,5,1.2590307989157736
9,2,30,0.7421442000195384
11,2,20,0.7624571989290416
9,2,25,0.9754796009510756
9,2,20,0.7389880018308759
9,2,30,0.6518663160968572
9,2,35,0.6637985790148377
11,2,15,0.72590377391316
9,2,15,0.6427391588222235
11,2,15,0.5130238668061793
11,2,20,0.5583470449782908
9,2,0,0.5918586880434304
11,2,30,0.7101615958381444
9,2,25,0.6427529030479491
11,2,25,0.6570587849710137
11,2,0,0.5267008799128234
9,2,10,0.6095206080935895
11,2,30,0.6429242060985416
11,2,10,0.561965127941221
9,2,35,0.7539791301824152
9,2,25,0.8689500449690968
9,2,30,0.6714582010172307
11,2,20,0.581838098121807
11,2,25,0.7222936719190329
9,2,10,0.6246025620494038
11,2,10,0.5931006928440183
9,2,35,0.7837202870287001
9,2,15,0.7251281030476093
11,2,40,0.689420023933053
11,2,15,0.578705521998927
9,2,20,0.7605760279111564
11,2,5,0.6687967069447041
9,2,15,0.8109600311145186
11,2,20,1.393952677026391
11,2,0,0.5326803009957075
9,2,40,0.729382683057338
9,2,35,0.6737306180875748
11,2,5,0.5204390140715986
9,2,10,0.6395197689998895
9,2,5,0.6939173429273069
9,2,20,0.6879796891007572
11,2,40,0.6285326459910721
9,2,25,0.6611649489495903
9,2,20,0.6761833229102194
11,2,10,0.5425153661053628
11,2,25,0.6445256830193102
9,2,35,0.560931344050914
9,2,30,0.6306763868778944
9,0,0,0.6490249689668417
11,0,25,0.5553848741110414
11,0,25,1.190676803002134
11,0,25,1.3915575679857284
11,0,30,0.6401705630123615
9,0,20,0.6405547398608178
9,0,35,0.5803897820878774
11,0,30,0.6937333410605788
9,0,20,0.6860065239015967
9,0,15,0.604468896985054
11,0,20,0.6233901509549469
11,0,10,0.6517307190224528
9,0,20,0.5736280370038003
9,0,5,0.7255359860137105
9,0,30,0.7880179760977626
9,0,5,0.6731554758735001
9,0,5,0.6058423789218068
9,0,20,0.579179999185726
11,0,5,0.499575326917693
11,0,35,0.7771158728282899
9,0,10,0.6060748819727451
11,0,25,0.6062120920978487
9,0,35,0.7235718360170722
9,0,15,1.0767805550713092
9,0,30,0.858135832939297
11,0,10,0.5782763888128102
11,0,0,0.5118401958607137
11,0,15,0.6934681839775294
9,0,20,0.7451025021728128
11,0,10,0.6544566799420863
11,0,0,0.6613546628504992
9,0,15,0.7332250450272113
11,0,30,0.7827867919113487
9,0,40,0.8085014920216054
11,0,0,0.5960899649653584
9,0,25,0.6322811101563275
9,0,15,0.6771757979877293
11,0,5,0.6111974460072815
9,0,15,0.7790332802105695
11,0,5,0.7369494060985744
9,0,0,0.9886046589817852
9,0,35,0.779489321867004
9,0,20,0.8214694010093808
11,0,0,0.657708965940401
11,0,40,0.8767799139022827
9,0,5,0.6041108078788966
9,0,15,0.5909504590090364
9,0,40,0.787015468114987
11,0,35,0.7274388829246163
9,0,35,0.7713709131348878
11,0,40,0.773878320120275
11,0,40,0.776111887069419
11,0,25,0.6892644518520683
9,0,10,0.5543149888981134
9,0,40,0.7974864819552749
9,0,5,0.4400343771558255
9,0,10,0.5463027618825436
9,0,20,0.4190559859853238
9,0,30,0.5246933728922158
9,0,35,0.5629347609356046
9,0,5,0.47105673304758966
9,0,0,0.47917335014790297
9,0,0,0.4744053229223937
9,0,20,0.5604298121761531
11,0,40,0.7462830289732665
11,0,0,0.5650691927876323
11,0,30,0.6215881388634443
11,0,10,0.4660973970312625
9,0,30,0.7258258850779384
9,0,40,0.7168546018656343
9,0,40,0.8200607181061059
9,0,25,0.5962517899461091
11,0,0,0.6980307891499251
11,0,10,0.5500812828540802
9,0,40,0.9292657058686018
11,0,25,0.8686785190366209
9,0,15,0.5545791820622981
11,0,15,0.724588590906933
11,0,35,0.7347343750298023
9,0,25,0.7928627149667591
9,0,15,0.707435323856771
9,0,25,0.669921135995537
9,0,30,0.9377601889427751
11,0,35,0.6823640640359372
11,0,20,0.7668194638099521
9,0,30,0.7752146038692445
9,0,5,0.7092321661766618
9,0,35,0.7931241518817842
9,0,10,0.519002528861165
9,0,10,0.5811583818867803
